
qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_I_ll_have_the_cattle|전염된 가축을 준비하는데 12시간 필요합니다. {로드/레이디}.
qstr_Within_the_next_12_h|12시간이 필요합니다.
qstr_It_will_take_12_hour|12시간 혹은 그 이상 걸립니다, {로드/레이디},^그정도 시간이면 그곳 사람들이 서로 치고박도록 만드는게 충분히 가능하리라 봅니다.
qstr__You_do_not_have_the| 이 임무를 수행하기 위한 500실버이 없습니다.
qstr_Number_of_men_knocke|쓰러진 사람 수: {reg1}명
qstr_Number_of_men_left:_|남은 사람 수: {reg1}명
qstr_Opponents_Beaten:_{r|쓰러진 상대방 전사: {reg1}명
qstr_Opponents_Remaining:|남은 상대방 전사: {reg1}명
qstr_Remain_in_retirement|모험에서 은퇴한다.
qstr_Go_back_to_adventuri|모험을 계속한다.
qstr_You_have_retired_at_|당신은 {reg5}일 동안 모험을 하였고 레벨 {reg4}에 은퇴하였습니다.
qstr_Effect_on_Score|효과 점수
qstr_Settlements_owned_by|정착민들이 당신을 신뢰합니다: {reg0}
qstr_Friendly_Settlements|호의적인 정착민들: {reg0}
qstr_Hostile_Settlements:|적대적인 정착민들: {reg0}
qstr_Friendly_Lords:_{reg|호의적인 군주: {reg0}
qstr_Enemy_Lords:_{reg0}|적대적 군주: {reg0}
qstr_Victories:_{reg0}|승리: {reg0}
qstr_Defeats:_{reg0}|패배: {reg0} 
qstr_Quests_Completed:_{r|퀘스트 완료: {reg0}
qstr_Companions_Found:_{r|합류한 영웅: {reg0}
qstr_Companions_Lost/Depa|상실/떠난 영웅: {reg0}
qstr_Wealth:_{reg0}_scill|재산 : {reg0} 실버
qstr_Inventory:_{reg0}_sc|인벤토리: {reg0} 실버
qstr_Renown:_{reg0}|명성: {reg0}
qstr_Experience:_{reg0}|경험치: {reg0}
qstr_Days_Passed:_{reg0}|보낸 일 수: {reg0}
qstr_Difficulty:_{reg0}%|난이도: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|총 점: {reg0}
qstr_Unpaid|미납된
qstr_None|없음
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Staff:
qstr_Kingdom_Tributes:|구성원:
qstr_You_paid_{reg0}_cash|당신은 부채를 갚기위해 {reg0} 실버을 지불 하였습니다.
qstr_Earlier_cash:|이전 소지 금액:
qstr_New_cash:|새로운 소지 금액:
qstr_Your_troops_are_unpa|당신의 부대원이 임금을 받지 못했습니다!  사기가 떨어지고 있습니다.
qstr_{s30}{reg1}{reg2}{re|{s30}{reg1},{reg2},{reg3},{reg4},{reg5},{reg6},{reg7},{reg8},{reg9},{reg10},{reg11},{reg12},{reg13},{reg14},{reg15},{reg16},{reg17},{reg18},{reg19},{reg20},{reg21},{reg22},{reg23},{reg24}/
qstr_The_Iron_Bank_of_Bra|브라보스의 강철은행는 브라보스의 주요 은행이며 틀림없이 전 세계에서 가장 강력한 금융 기관입니다. ^^ 당신은 자주색 항구에서 정박한 은행 배송을 볼 수 있으며 앞뜰은 웅장해 보입니다. 강철은행은 신중하고 비밀스럽기로 유명하지만 약속한 대로 빚을 갚지 않으면, 강철 은행은 갚아야 할 대가를 치르게 될 것임을 똑똑히 기억하는 것이 현명합니다.
qstr_Choose_how_much_mone|빌리고 싶은 금액:
qstr_Borrow|빌리기 (클릭)
qstr_Pay_off_your_debt|빌린 돈을 갚음 :
qstr_Make_Payment|갚기
qstr_{reg6}|{reg6}
qstr_You_must_select_an_a|빌리고 싶은 금액:
qstr_You_cant_buy_0_acres|당신은 0 에이커의 땅을 살 수는 없다.
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|당신은 0 실버의 돈을 갚을 수는 없다.
qstr_Town|도시
qstr_Acres|에이커
qstr_Owned|소유
qstr_Balance|균형
qstr_Assets|자산
qstr_Debt|빚
qstr_Deadline|마감 시간
qstr_{s9}|{s9}
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_{reg5}|{reg5}
qstr__Return_to_menu_| 메뉴로 복귀 
qstr_CURRENT_COMMANDER_S_|지휘관 보고서!
qstr_Your_Commander:_{s19|당신의 지휘관: {s19}
qstr_Commander_Relation:_|지휘관과의 관계: {reg0}
qstr_Enlisted_Faction:_{s|Enlisted Faction: {s20}
qstr_Current_Rank:_{s21}|현재 보직: {s21}
qstr_N/A|N/A
qstr_Experience_to_next_p|다음 진급을 위한 경험치: {s1}
qstr_Days_in_service:_{re|근무 일수: {reg20}
qstr_Current_Wage:_{reg23|현재 주급: {reg23}
qstr_Next_Pay/Promotion_d|다음 임금지급/진급 날짜: {s25}
qstr_Army_size:_{reg26}|부대규모: {reg26}
qstr_Commander_s_Army|지휘관의 부대
qstr_This_is_the_gambling|이것은 도박 시스템입니다. 아이템을 사거나 팔때 컨트롤 키를 계속 누르고 있어야 합니다.
qstr_Money:_{s1}|자금: {s1}
qstr_You_don_t_have_enoug|당신은 충분한 돈이 없습니다. 매우 당혹스럽군요!
qstr_He_don_t_have_enough|그는 충분한 돈을 가지고 있지 않습니다.
qstr_Sovereign_colour_of_| {s0}의 세력 색상:
qstr_Red:|빨강:
qstr_Green:|초록:
qstr_Blue:|파랑:
qstr__| 
qstr_HTML_code:_{s0}|HTML 코드: {s0}
qstr_Default|기본
qstr_Randomize|무작위
qstr_We_believe_the_enemy|적들의 {reg1}병력이 전투준비중인 것으로 보입니다.
qstr_We_ve_paid_a_bit_of_|{s1}가 우리를 돕게 하려면 어느 정도의 비용을 지불해야 합니다. 그들 부대 {reg1}는 강합니다.
qstr_We_ve_paid_a_bit_of_g|{s1}가 우리를 돕게 하려면 어느 정도의 비용을 지불해야 합니다, 그러나 배신의 가능성도 염두해야합니다. 그들 부대 {reg1}는 강합니다.
qstr_{s1}_will_most_assur|{s1}는 상대편을 도울것으로 보입니다, {reg1} 병사를 이끌고 전투에 참가할것입니다.
qstr_We_believe_{s1}_will|{s1}는 전투에서 철수 할것으로 보입니다. 그들의 {reg1}병사들은 이미 피칠갑을 하고 있습니다.
qstr_{s1}_is_obligated_to|{s1}가 우리를 도우려 합니다, 그는 {reg1} 병력을 이끌고 왔습니다.
qstr_{s1}_will_join_us_br|{s1}가 우리에게 합류합니다, {reg1}병력이 전투에 참가 가능합니다.
qstr_{s1}_feels_no_obliga|{s1}는 우리를 도울 필요를 못느끼는 것으로 보입니다. 그들과 관계가 그리 원만하지 않았습니다.
qstr__Report_^_Dispositio| 보고서 ^ 전투에 참여 할 수 있는 다른 부대.
qstr___Continue__|  계속 
qstr__of_the_{s2}.| {s2}의
qstr__Insult_{s1}.| {s1}을 모욕하다
qstr__Buy_food_supplies_f| {s1}로 부터 식료품을 구입.
qstr__Challenge_{s1}_to_a| {s1}에게 결투를 신청.
qstr__Send_an_amphorae_of| {s1}에게 와인을 선물로 보내기.
qstr__Send_a_poisoned_amp| {s1}에게 독이 든 와인을 선물로 보내기.
qstr__Compose_a_message_t| {s1}{s9}로 갈 메시지 작성하기
qstr_View_Current_Message| 현재 메시지 보기
qstr__Cancel_Message__| 메시지 취소  
qstr_{s3}|{s3}
qstr_{s8}|{s8}
qstr__Send_Message_| 메시지 보내기 
qstr__Cancel_Message_| 메시지 취소 
qstr__RETURN_| 돌아가기 
qstr_Gazing_at_the_maimed|전투로 적과 아군의 시신이 쌓여있습니다, 당신은 그것을 어떻게 처리할지를 정해야합니다. 당신의 결정은 .....
qstr_Bury_the_dead_gather|시신을 화장하고 부상을 치료하면서 전리품을 챙긴다.
qstr_You_estimate_this_wi|3시간 걸릴 것으로 예상됨.
qstr_Leave_the_dead_to_ro|전리품만 챙기고 뜬다.
qstr_You_estimate_this_wil|2시간 걸릴 것으로 예상됨.
qstr_Bury_the_dead_and_le|시신을 화장하지만 전리품을 그대로 두고 간다.
qstr_You_estimate_this_will|2시간 걸릴 것으로 예상됨.
qstr_Leave_quickly_and_pr|이 장소를 떠난다.
qstr_Your_victory_has_inc|전투에서 승리하여 사기가 상승합니다.
qstr_You_estimate_this_will_|1시간 걸릴 것으로 예상됨.
qstr_Burn_the_dead_in_an_|'를로르' 사제에게 제물로 시신을 화장하고, 부상을 치료하면서 전리품을 챙긴다.
qstr_Burn_the_dead_in_an_o|'를로르' 사제에게 제물로 시신을 화장하고, 전리품을 그대로 두고 간다.
qstr_Drown_the_dead_in_an|'익사한 신' 에게 제물로 시신을 물에 빠뜨리고, 부상을 치료하면서 전리품을 챙긴다.
qstr_Drown_the_dead_in_an_|'익사한 신'에게 제물로 바치고, 전리품을 그대로 두고 간다.
qstr_Bury_or_burn_the_dea|죽은 자들을 묻어주거나 화장을하고, 전리품들을 챙긴다
qstr_After_the_bloody_bat|전투 후에 당신은 다음과 같이 결정 :
qstr_Deal_with_any_women_|죽거나 다친 동료를 성직자에게 맡긴다.
qstr_Join_some_of_the_oth|다른 사람들과 가능한 한 많은 전리품을 챙긴다.
qstr_The_wealth_provided_|당신은 도둑이 아니다, 군주가 하사하는 것만 당신의 것이다. 당신은 군주를 따라 묵묵히 대기한다.
qstr_Your_lord_is_not_hap|당신의 군주는 그리 기분이 좋지 않다. 그에게 해코지 당하고 싶지 않다면 근처에 가지 않는 것이 좋을 것이다.
qstr_Your_lord_gifts_you_|군주가 당신의 노력을 보상하기위해 장신구와 약간의 돈을 주었다.
qstr_Your_lord_gifts_you_a|군주가 당신의 용맹을 치하하기 위해 훈장을 내렸다.
qstr_You_and_your_lord_sh|군주가 당신의 등을 두드렸다. 승리를 축하하면서.
qstr_Name:_{s1}^Level:_{r|이름: {s1}^레벨: {reg1}
qstr_{s1}^HP:_{reg0}|{s1}^HP: {reg0}
qstr_{s1}|{s1}
qstr_Attributes:|능력치:
qstr_{s3}^STR:_{reg1}^INT|{s3}^힘: {reg1}^지능: {reg2}^^스킬:
qstr_{s3}^Power_Strike:_{|{s3}^근접 타격: {reg1}^활쏘기: {reg2}^투척술: {reg3}^기마궁술: {reg4}^^무기 숙련:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^한손 무기: {reg1}^양손 무기: {reg2}^폴암: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^민첩: {reg1}^카리스마: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^체력증가: {reg1}^달리기: {reg2}^방패: {reg3}^승마: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^활: {reg1}^석궁: {reg2}^투척: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|장비: 
qstr_Please_select_a_comp|다가오는 전투의 지휘관으로 동료를 선택하십시오. ^^ 현 사령관 : {s0}.
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_Arms:|무기:
qstr_{s2}^None|{s2}^없음
qstr_{s2}^{s3}|{s2}^{s3}
qstr_{s2}^{s4}{s3}|{s2}^{s4}{s3}
qstr_{s2}^^Gear:|{s2}^^복장:
qstr_{s2}^^Horse:|{s2}^^말:
qstr_{s2}|{s2}
qstr__Back_to_shop_| 가게로 돌아가기 
qstr_Strength|힘
qstr_Riding|승마
qstr_Pdraw|궁술
qstr_Pthrow|투척술
qstr_1_hand|한손 무기
qstr_2_hand|양손 무기
qstr_Polearm|폴암
qstr_Archery|활
qstr__X_bow_| 석궁 
qstr_Throwing_|투척 
qstr___Others|  그밖에
qstr__Mode| 양식
qstr__to_next_lvl_|(다음 레벨)
qstr__1.3_| 1.3 
qstr_If_you_can_see_this_|만일 이 메시지가 보인다면, 사양이 좋지 않은 것 입니다(사양경고).
qstr___Weapons_| -무기-
qstr___Armour_| -방어구-
qstr_________________n/a_|                n/a                
qstr_{reg1}|{reg1}
qstr_Rides|승마
qstr_Walks|도보
qstr_Startpage_set__Quick|시작 페이지 설정 (퀵뷰)
qstr_Back_to_shop|가게로 돌아가기
qstr__[?]_| [?] 
qstr_Hotkeys:^HOME_=_Set_|단축키:^HOME = 시작페이지설정^오른마우스버튼 = 메뉴 나가기^ESC = 퀵뷰^BACKSPACE = 가게보기로 돌아가기 (if visited)
qstr___Quit2__|- Quit2 -
qstr__Quick_View_| 퀵 뷰 
qstr_______|      
qstr_Attributes|능력치
qstr_Skills|스킬
qstr_Proficiencies|숙련도
qstr_STR:|체력:
qstr_AGI:|민첩:
qstr_INT:|지능:
qstr_CHA:|카리스마:
qstr_Health:|HP:
qstr_Level:|레벨:
qstr_To_next_lvl:_|다음 레벨: 
qstr_Ironflesh^Power_Stri|HP증가^근접타격^투척술^궁술^무기 숙련^방패^달리기^승마^기마궁술^약탈^훈련^추적^
qstr_Tactics^Path_finding|전술^길찾기^정찰^인벤증가^상처치료^수술^응급치료^기술^설득^포로관리^리더쉽^교역
qstr_10|10
qstr_One_Handed_Weapons:^|한손무기:^^양손무기:^^폴암:^^활:^^석궁:^^투척:^^화기:
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_| {reg1} 
qstr__100%__| 100%  
qstr__30_| 30 
qstr__3333333333_| 3333333333 
qstr__Weapons_|-무기-
qstr__Armour_|-갑옷-                       
qstr_n/a_________________|n/a                                
qstr_{s9}_feels...|{s9} 생각한다...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|동료를 선택하시오,
qstr_{s7}|{s7}
qstr_your_style_of_leader|당신의 지휘 스타일...
qstr_the_general_state_of|영향을 주는 일반적 요소.^------------------------------
qstr_Morale:_____________|사기:                       ^^본래수치:          
qstr_State:______________|상태:                       
qstr_Start_page_set__Exte|시작페이지 설정 (확장 보기)
qstr__Faction_Relations_R| 팩션 관계 정보 
qstr_Player^Relation|플레이어^관계
qstr_Status|상태
qstr_Relation|관계
qstr_War|전쟁
qstr_Casus_Belli|카수스 벨리
qstr_Peace|평화
qstr_Truce|휴전
qstr_Alliance|연합
qstr_Defence_Pact|방위 조약
qstr_Trade_Agreement|무역 협정
qstr_{s60}|{s60}
qstr_{reg59?{reg59}_days:|{reg59?{reg59} 일:}
qstr_{reg61}|{reg61}
qstr_Loyal|충성스러운
qstr_Devoted|헌신적인
qstr_Fond|결속된
qstr_Gracious|반기는
qstr_Friendly|친근한
qstr_Supportive|후원적인
qstr_Favourable|선호하는
qstr_Cooperative|협력적인
qstr_Accepting|받아들이는
qstr_Indifferent|무관심한
qstr_Suspicious|의심스러운
qstr_Grumbling|험담하는
qstr_Hostile|호전적인
qstr_Resentful|반항적인
qstr_Angry|분노한
qstr_Hateful|증오하는
qstr_Revengeful|분개한
qstr_Vengeful|복수의 감정을 품은
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}센터
qstr_{reg62}_Caravans|{reg62} 캐러반
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}군주들
qstr__Courtships_in_progr| 진행도
qstr__Known_Lords_by_Rela| 알려진 군주와의 관계 
qstr__Character_&_Compani| 주인공과 동료들 
qstr__Done_| 확인 
qstr_Your_supporters|당신의 후원자들
qstr_The_Vale|베일(아린 가문)
qstr_Dragonstone|드래곤스톤(스타니스 세력)
qstr_Norvos|노르보스
qstr_The_North|북부(스타크 가문)
qstr_The_Riverlands|리버랜드(툴리 가문)
qstr_The_Reach|리치(티렐 가문)
qstr_All_Sovereignties|올 스타
qstr_Braavos|브라보스
qstr_The_Iron_Islands|강철 군도(그레이조이 가문)
qstr_Dorne|도른(마르텔 가문)
qstr_Night_s_Watch|나이트 워치
qstr_Free_Folk|자유민/와일들링
qstr_The_Khalasar|도트라키 부족
qstr_Pentos|펜토스
qstr_House_Targaryen|타르가르옌 가문
qstr_Myr|미르
qstr_Tyrosh|티로시
qstr_The_Westerlands|웨스터랜드(라니스터 가문)
qstr_lorath|로라스
qstr_Lys|리스
qstr_Qohor|쿼호르
qstr_Volantis|볼란티스
qstr_The_Stormlands|스톰랜드(렌리 세력)
qstr_My_Boats|나의 선박
qstr_Boats_for_Sale|판매를 위한 선박
qstr_No_ships_for_sale^in|이 마을에는^판매 중인 선박이 없습니다.
qstr_No_Name|이름 없음
qstr_{reg7}._Ship|{reg7}. 선박
qstr_Flagship|기함
qstr_Very_Good|매우 좋음
qstr_Good|좋음
qstr_Acceptable|보통
qstr_Bad|나쁨
qstr_Very_Bad|매우 나쁨
qstr_Dangerous|위험함
qstr_Repair:_{reg8}_stags|수리 비용: {reg8} 실버
qstr_Type:_{s7}^Wood:_{s6|종류: {s7}^나무: {s6}^상태: {s1}^속도: {reg1} 노트^승무원: {reg6} 명^가격: {reg7} 실버^{s2}
qstr_Repair_Ship|선박을 수리합니다
qstr_Customize_Ship|선박을 개조합니다
qstr_Sell_Ship|선박을 판매합니다
qstr_Buy_Ship|선박을 구입합니다
qstr_Are_you_sure_you_wan|이 거래를 정말로 하시겠습니까?
qstr_Leave_ship_at_the_sh|해안에 선박을 내버려 둡니다
qstr_Next_ship|다음 선박
qstr_Fleet_Capacity:|선단 수용인원:
qstr_{reg1}/{reg2}|{reg1}/{reg2}
qstr_You_cannot_buy_this_|이 선박을 사기 위해서는, 더 높은 해상 지휘력 기술이 필요합니다.
qstr_You_cannot_buy_this_b|당신의 해상 지휘력 기술이 부족하기 떄문에, 선박을 더 구매할 수 없었습니다.
qstr_You_cannot_buy_this_bo|더 많은 선박을 관리하기 위해서는, 더 높은 해상 지휘력 기술이 필요합니다.
qstr_You_cannot_buy_this_boa|돈이 부족하여 선박을 구입하지 못했습니다.
qstr_You_can_t_leave_your|마지막 배를 해안에 두고 갈 수는 없습니다.
qstr_You_can_t_leave_this|남은 배에 수용인원이 적당치 않아, 이 배를 해안에 두고 갈 수 없습니다.
qstr_{s1}_s_Ships|{s1}의 선박
qstr_You_need_to_get_clos|배를 해안에 두고 가기 위해서는 해안에 가까이 가야 합니다.
qstr_You_cannot_repair_th|돈이 부족하여 선박을 수리하지 못했습니다.
qstr_No_ships_for_sell^in|이 마을에는^판매 중인 선박이 없습니다.
qstr_Wood:_{s0}^|나무: {s0}^
qstr_Custom|임의 조정
qstr_Red|빨간색
qstr_Black|검은색
qstr_Red_and_white|빨간색과 흰색
qstr_Blue_and_white|파란색과 흰색
qstr_White_stripes|흰색 줄무늬
qstr_White|흰색
qstr_Rich_white|비싼 흰색
qstr_Cheap_white|값이 싼 흰색
qstr_Greyjoy_sigil|그레이조이 깃발
qstr_Sail:_{s0}^|돛: {s0}^
qstr_Tarred|타르 칠
qstr_Black_and_yellow|검은색과 노랑색
qstr_Varnished|니스 칠
qstr_Red_and_yellow|빨간색과 노랑색
qstr_Green_and_yellow|초록색과 노랑색
qstr_Red_and_orange|빨간색과 오렌지색
qstr_Green_and_white|초록색과 흰색
qstr_Plain|꾸미지 않음
qstr_Finish:_{s0}^|마감: {s0}^
qstr_Price:_{reg7}_stags|가격: {reg7} 실버
qstr_{s1}{s2}{s3}{s4}|{s1}{s2}{s3}{s4}
qstr_Change_Finish|변경 완료
qstr_Change_Sail|돛을 바꾼다
qstr_Apply|적용
qstr_Only_ships_made_of_o|참나무로 만들어진 선박만이 추가적인 도장을 할 수 있습니다.
qstr_F4___Advanced_format|F4 - 진형 유형
qstr_F7___Memorize_div._p|F7 - 분대 배치 저장
qstr_F8___Default_divisio|F8 - 분대 배치 초기화
qstr_F4___Ranks|F4 - 횡렬 대형
qstr_F5___Shield_Wall|F5 - 방패 벽 대형
qstr_F6___Wedge|F6 - 산개 대형
qstr_F7___Square|F7 - 사각 대형
qstr_F8___No_Formation|F8 - 진형 없음
qstr_F1___Movement_orders|F1 - 이동 명령
qstr_F2___Formation_order|F2 - 대형 명령
qstr_F3___Fire_orders|F3 - 사격 명령
qstr_F4___Complex_formati|F4 - 부대 진형
qstr_ranks|횡렬
qstr_Five_Rows|다섯 줄
qstr_shield_wall|방패벽
qstr_Four_Rows|네 줄
qstr_wedge|산개
qstr_Three_Rows|세 줄
qstr_square|사각
qstr_Two_Rows|두 줄
qstr_No_Formation|형성 없음
qstr_Single_Line|한 줄
qstr_Memorize_div._placem|분대 배치 저장
qstr_Default_division_pla|분대 배치 초기화
qstr_____Y^Cancel|   Y^ 취소
qstr_____X^__Trait|    X^ 특성
qstr_____B^_Horse|    B^ 말
qstr_____A^_Creep|    A^ 기다
qstr_Orders|명령
qstr_Mount|말에 올라타라
qstr_Attack_Order|공격 명령
qstr_Retreat|후퇴
qstr_Stand_Ground|정지!
qstr_Charge|돌격!
qstr_Follow_Me|나를 따르라!
qstr_Hold_This_Position|이 위치로!
qstr_Spread_Out|산개대형
qstr_Stand_Closer|밀집대형
qstr_Fall_Back|후퇴!
qstr_Advance|전진!
qstr_Dismount|말에서 내려라
qstr_Fire_At_Will|자유 사격
qstr_Hold_Your_Fire|사격 중지
qstr_Use_Blunt_Weapons|둔기를 사용해 포로를 잡아라
qstr_Use_Any_Weapon|주무기를 사용해라
qstr_Ready|대기
qstr_Wounded|부상
qstr_Dead|사망
qstr_What_will_your_party|당신의 부대가 어떤 이름으로 불려지길 바라는가?
qstr_By_the_name_entered_|아래 이름을 적으시오.
qstr_Simply_by_my_name:_{|다음과 같이 불려짐: {s5}.
qstr_What_will_your_fort_|당신의 요새가 어떤 이름으로 불려지길 바라는가?
qstr_Simply_by:_{s5}.|간단히 말해: {s5}.
qstr__{s2}_siege_camp.| {s2} 공성 캠프.
qstr_Stamina:|기력:
qstr_Exhausted|지친
qstr_Very_Tired|매우 피곤한
qstr_Tired|피곤한
qstr_Normal|보통
qstr_High|기분이 좋은
qstr_What_name_would_you_|은신처의 이름을 무엇으로 정할 것입니까?
qstr_Save_it_as:_{s5}.|여기에 저장합니다: {s5}.
qstr_Plan_Deployment|계획 구축
qstr_You_will_have_{reg1}|전투 시작시 {reg1} 명의 군대를 사용할 수 있습니다.
qstr_Troop|병력
qstr_#_at_start__/_#_in_p| 시작시 # / 부대에서 # 
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|{reg0} 명의 병력
qstr_Ready_Troops|준비된 병력
qstr_Reassess|재평가
qstr_Scrap_All|모든 스크랩
qstr_Too_many_troops^Chec|군대가 너무 많습니다^부대수 확인
qstr_Initial|초기의
qstr_Movement_1|Movement 1
qstr_Movement_2|Movement 2
qstr_Formation|대형
qstr_Attack|공격
qstr_Weapon_Type|무기 종류
qstr_Shield|방패
qstr_Skirmish|소규모 접전
qstr_Hold_Position|대형 유지
qstr_Back_10|10보 뒤로
qstr_Forward_10|10보 전진
qstr_Repeat_x|반복 x
qstr_Shieldwall|방패 벽
qstr_Ranged|원거리
qstr_Polearms|장창
qstr_Two_Handed|양손 무기
qstr_One_Handed|한손 무기
qstr_No_Shields|방패 없음
qstr_Use_Shields|방패 사용
qstr_Avoid_Melee|근접 회피
qstr_Turn_to_weapon_order|무기 명령으로 ...
qstr_Prepare_Orders|명령 준비
qstr_Dispatch_Orders|명령 실행
qstr_...Turn_to_positioni|...명령 위치 지정으로 전환
qstr_Record_Battle_Size_a|옵션에서 설정한 전투 크기 기록
qstr_Troop_Assignments|부대 배치
qstr_Split_Troops_into_Se|병력을 2 차 사단으로 분할
qstr_Troops_by^_Primary_D|1사단 병력
qstr_#_in^Main_Division|# in^본부
qstr_Show/^Hide|표시/^숨기기
qstr_#_in^Secondary_Divis|# in^2 차 부문
qstr_Secondary^Division|2 차 부문
qstr_Disabled|불가능
qstr_Split_Active|활성 분할
qstr_Clear_All|모두 지우기
qstr_Discard_Changes|변경 사항을 취소
qstr_Save|저장
qstr_0000|00,00
qstr_Bet:_{reg51}_Stag|배팅: {reg51}실버
qstr_Money:_{reg1}_Stag|돈: {reg1}실링
qstr_{reg1}{reg2}|{reg1},{reg2}
qstr_Start_Game|게임 시작
qstr_Find_the_Lady|숙녀 찾기
qstr_You_win!_Try_again?|음 좋아! 한판 더!
qstr_You_lose._Try_again?|빌어먹을! 한판 더!
qstr_Yes|예
qstr_No|아니오
