
skl_trade|상술
skl_power_strike_desc|이 기술에 1포인트를 줄 때마다 근접 공격력이 8%% 상승합니다. (개인 기술)
skl_ironflesh|단단한 피부
skl_ironflesh_desc|이 기술에 1포인트를 줄 때마다 체력이 2포인트 만큼 상승합니다. (개인 기술)
skl_reserved_14|Reserved Skill 14
skl_reserved_14_desc|This is a reserved skill.
skl_reserved_15|Reserved Skill 15
skl_reserved_15_desc|This is a reserved skill.
skl_reserved_16|Reserved Skill 16
skl_reserved_16_desc|This is a reserved skill.
skl_reserved_17|Reserved Skill 17
skl_reserved_17_desc|This is a reserved skill.
skl_reserved_18|Reserved Skill 18
skl_reserved_18_desc|This is a reserved skill.
