
ip_morale|사기
ip_military_campaigns_text|웨스테로스와 에소스의 왕국들이 전쟁을 할 때, 그들의 군대는 두가지 선택을 할 수 있습니다. 상대의 마을들을 황폐하게 만들어 국민들의 지지와 경제에 타격을 입히거나 직접 도시와 성을 포위하여 빼앗는 것입니다. 후자의 경우엔 시간도 오래 걸리고 엄청난 사상자가 생기겠지만 보다 확실한 결과를 얻을 수 있습니다.^^ 웨스테로스와 에소스 왕국의 군사들이 항상 군주의 의지대로 움직이지만은 않는다. 오히려 대부분의 영지들이 귀족의 개인 사병들에 의해 보호되고 있다. 때때로 귀족들은 사적으로 적들의 영토를 공격하기도 하는데 대부분의 경우 엄청난 수의 적들을 끌여들이게 된다. 군주가 임명한 총사령관은 적들을 몰아내기 위해 군대를 소집할 권한을 가지고 있는데 너무 오랜기간 소집을 하게되면 문제가 발생합니다. 적들은 병력을 나누어 방치되어있는 영토를 향해 반격을 가할 것입니다.^^ 이러한 이유 때문에 웨스테로스와 에소스에서의 전쟁의 흐름은 종종 두 개인간의 싸움과 비슷해집니다. 한쪽이 힘을 모아서 빼앗을 만한 적의 영토를 찾는 것입니다. 만약 총사령관이 군대를 소집하는데 너무 적은 시간을 들인다면, 제대로 된 타격을 입히기 어렵게 됩니다. 반대로 너무 많은 시간을 들이면, 시작도 하기전에 전쟁이 끝나게 될 것이다. 큰 나라일 수록 전투가 유리하긴 하겠지만 국가의 정치적 통일성 역시 무시할 수 없습니다. 큰 나라는 덩치큰 전사와 유사하지만 정치적으로 통일된 나라는 스테미너가 넘치는 전사에 비유할 수 있습니다. 가끔씩 두 나라간의 군대가 격돌하게 되는데, 전투의 결과는 병사들의 숫자와 사기에 의해 결정됩니다.^^ 왕국들은 적국에 대한 정보를 완벽하게는 알지 못합니다. 전쟁중인 영주들은 주기적으로 상대방의 어떤 요새가 가장 약한지 정찰할 필요가 있습니다. 자국에서 수비중인 군대는 성과 도시로부터 적들의 동향에 대해 알 수 있다는 이점이 있습니다. 하지만 적들의 숫자에대해서는 명확히 알 수가 없기 때문에, 수비군은 포위에서 벗어나도록 돕거나 마을을 보호하다가 엄청난 대군을 맞이하여 전멸할 수도 있습니다. 반면 호전적이고 신중하지 못한 총사령관의 지휘를 받는 공격군은 지나치게 적의 영토 깊숙히 들어가지 않도록 조심해야 할 것입니다.^^ 플레이어 역시 속한 세력이 군사작전을 할 때 참여를 요청받을 것입니다. 군대로서 전투에 참여할 수도 있고 적진을 정찰할 수도 있습니다. 어떤 플레이어는 총사령관이 너무 신중하다거나, 너무 공격적이라 자신의 스타일과는 어울리지 않을 수도 있습니다. 이런 경우에는 새로운 총사령관을 선출하자고 건의 할 수 있고 영주들의 지지를 얻어 스스로 총사령관이 될 수도 있습니다.^^ 대부분의 전쟁은 지속하는데 한계가 있다. 왕이 전쟁을 하는 것은 짧은 기간에 명예를 얻기 위함이지만, 적을 완전히 멸망시키려 하는 것이 아니라면 곧 전쟁을 끝낼 방법을 강구하게 될 것입니다. 그렇지 않으면 전쟁으로 드러난 약점을 제 3 세력에 의해 공격당하게 되기 때문입니다. 웨스테로스와 에소스의 지도자들은 오늘의 친구가 내일의 적이 되거나 그 반대의 경우가 비일비재하다는 사실을 항상 염두에 두고 있습니다.
ip_prisioner_system|포로 관리
ip_prisioner_system_text|얼음과 불의 세계에서는 '포로 관리'라는 기술은, 기술적인 면에서 죄수의 수를 관리하는 것이 비현실적인 것으로 보이기 때문에, 사라지고 있다. 얼음과 불의 세계에서는 플레이어가 가질 수 있는 포로의 수가 군대의 크기에 따라 다르다. 즉, 더 많은 군인들을 데리고 있을수록, 더 많은 죄수들을 운반할 수 있게 되는 것이다.
ip_ambush|매복
ip_ambush_text|이 매복 기술로 매복 공격을 설정할 수 있다. 캠프 게임 메뉴에서 매복을 선택하세요. 매복 공격을 받게 되면 현재의 성격을 알게 될 것이고, 공격을 받게 된다면, 매복을 시작할 수 있는 선택권을 갖게 될 것입니다. 매복 공격은 치명적인 긍정적 혹은 부정적인 영향을 미칠 수 있다.
ip_sneaking|은밀한 행동
ip_sneaking_text|그 은밀한 기술은 당신을 몰래 접근하게 해 준다. 캠프 게임 메뉴에서, 몰래 하는 것을 선택하세요. 몰래 숨어 다니면 속도가 느려지지만^ 하지만, 만약 당신이 공격자라면, 몰래 돈을 빌려 주는 것처럼 좋지 않은 전투 보너스를 받았을 수도 있습니다.
ip_entrenchment|야영지 요새화
ip_entrenchment_text|당신의 군대가 밤을 위해 캠프를 설치할 때, 당신은 당신의 캠프 장소를 요새화 할 수 있는 선택권이 주어집니다. 참호는 지형과 피켓을 이용해 임시로 요새화한 방어막이다. 대부분 기병대로 구성된 군대는 참호를 판다고 해서 거의 이점을 얻지 못할 것이다. 보병으로 주로 구성된 군대는 참호를 파는 것이 기병대 부대에 비해 그들에게 상당한 이점을 줄것이라는 것을 알게 될 것이다. 군인들은 구멍 파기와 피켓을 매우 싫어하기 때문에, 이 선택을 할 경우 약간의 사기가 떨어질 것이다. 너의 캠프는 이미 끝난 일이다. 사용자의 인벤토리에 있는 항목은 전투에서 약탈되거나 파괴될 수 있습니다. 아직도 실행되지 않은 참호는 부대에 다수의 탄약 재적재의 이점을 제공 받는다. 정상적인 캠프 사이트는 그러한 이점을 얻지 못한다. 도구는 알려진 세계 내의 많은 마을에서 구입할 수 있으며 한세트는 당신의 재고에 있어야만 들어갈 수 있다. 참호를 파는 데 필요한 시간은 군의 군인 수와 기술에 있어서의 동료 병사들의 실력에 달려 있다. 기술이 없는 작은 전사 무리가 캠프 사이트에 들어가는 데는 며칠이 걸릴 것이다. 30명 이상의 군대가 몇시간 만에 이것을 완성할 수 있다. 이 참호는 매장을 떠난 후에도 약 3일 동안 제자리에 있을 것이다. 더 이상의 굴착기 작업이나 피켓을 꽂지 않고도 이 기간 동안에 정착할 수 있기 때문에, 어떠한 사기 저하도 피할 수 있다. 이로 인해 견고한 기지는 부지 선정이나 적지 침입에 있어 탁월한 작전 기지가 된다.
ip_siege_warfare|웨스테로스와 에소스의 공성 전쟁
ip_siege_warfare_text|Mount & Blade Warband에서 놓친 것들 중 하나는 완전히 현실적인 포위 전쟁이었습니다. 얼음과 불의 세계가 이것을 최대한 활용합니다. 플레이어가 정착지를 포위하면, 쇠약 (굶주림, 질병 ...)과 공격에 의해 장소를 정복하기위한 두 가지 경로가 취해질 수 있습니다. ^^ 첫 번째 경우 플레이어의 임무는 정착지를 둘러싸 기위한 것입니다 (200 또는 더 많은 남자들)과 그것이 보급품이나 보급품을받지 못하게하십시오. 동시에 사기를 약화 시키거나 질병을 퍼 뜨리거나 합의 식량을 파괴하기 위해 다양한 조치가 취해질 수 있습니다. 이 유형의 행동은 더 오래 걸리지 만 많은 사상자를 예방할 수 있습니다. ^^ 두 번째 경우에는 폭행 장비 (사다리, 수양, 경사로, 벽토등 ...) 또는 공격 행동 ( 수비수를 쓰고, 집과 벽을 태우는 ...). 플레이어가 합의를 정복하기위한 본격적인 공격을 시작할 준비가되었다고 느낄 때입니다. 이러한 유형의 행동은 짧은 시간 내에 장소를 정복 할 수 있지만 대개 매우 높은 생활비를 부과 할 수 있다는 장점이 있습니다. ^^ 위와 더불어 공성 전략의 두 가지 유형을 포함하는 새로운 공격 시스템이 있습니다. 도 가능. 거주지에 항구가있는 경우 플레이어는 함대를 장비하고 항구를 차단할 수 있습니다. 그런 다음 플레이어는 쇠약에 의해 항복 할 때까지 포위 공격을 계속하거나 바다 공격을 이끌어 낼 수 있습니다. ^^ 새로운 포위 공격 시스템의 복잡성과 특징은 오래되었으며 가장 좋은 방법은 자신을위한 전략을 발견하고 개발하는 것입니다. 현실주의 공성전에 오신 것을 환영합니다.
ip_sea_travel|해상 여행
ip_sea_travel_text|캠페인 맵에 있는 선박을 이용하여 당신의 부대를 현재 항구에서 다른 항구로 수송할 수 있습니다. 운송비용은 부대가 커짐에 따라 증가하게 됩니다.^^바다를 이용해 멀리 이동해야 한다면, 항구를 이용해보십시오. 도시 메뉴 또는 도시 화면에서 항구를 이용해, 조선공에게 말을 걸면 이용할 수 있습니다. 운송비용은 아까와 동일하게 이동하는 부대의 크기에 따라 증가합니다.^^자신만의 선박을 가지고 있다면, 도시에서 '항구에서 출항한다.' 메뉴를 선택함으로써 출항할 수 있습니다. 해상을 여행하는 방법은 기존 육지에서 하는 것과 방식이 같습니다.^^육지로 상륙하는 방법에는 두 가지가 있는데, 항구를 클릭하거나 상륙지점을 클릭해서 상륙할 수 있습니다. 상륙지점을 찾기 위해서는, 해안 가까이 이동하거나 부대를 오른쪽 클릭하여 '상륙지점 찾기.'를 선택한 후 생성된 상륙지점을 클릭하면 됩니다. 두 경우 모두, 당신의 선박은 상륙한 지점에 남게 됩니다.^^만약 부대가 선박의 수용인원보다 클 경우에는, 출항 할 수 없습니다. 이런 경우, 현재 위치에 부대 숙소를 세우고 (야영지 메뉴), 다른 부대 숙소는 원하는 위치에 세우면, 당신의 부대를 순차적으로 수송할 수 있습니다.^^캠페인 맵에서 해상을 여행하실 땐, 현재 기상조건을 항상 확인할 수 있습니다. '야영지' 버튼을 클릭하면, 현재 기상 상태가 왼쪽에 나타나게 됩니다. 만약 기상 상태가 바뀌게되면, 화면 왼쪽 하단에서 보고를 받으실 수 있습니다.^^반면에, 바람은 캠페인 맵이나 해상 전투시에 선박의 이동속도에 영향을 주지만, 동시에 선박에 피해를 줄 확률 또한 늘어나게 됩니다. 피해는 선박의 상태를 악화시키며, 선박이 느려지거나 '위험함.'에 도달하면 선박이 파괴됩니다. 선박의 상태는 '야영지'에서 '선단.'을 통해 확인할 수 있습니다.^^마지막으로, 날씨 또한 해상 전투에 영향을 미칩니다. 이것은 사전에 '야영지' 메뉴의 '현 위치 확인.'을 통해 확인 할 수 있습니다.^^해상 여향은 위험하고 부대의 사기를 낮춥니다. 이런 일이 생기게되면, 메세지를 통해 알 수 있습니다. 부대원들은 특히 밤을 바다에서 보내는걸 싫어하므로, 이동 경로를 확인하여 밤이 되기 전에 상륙하는게 좋습니다. 바다에서 사기가 너무 낮아지면, 반란이 일어날 수 있습니다.^^선원이나 노스란드 부대원들은 바다에 익숙하여, 캠페인 맵에서 선박의 이동 속도를 향상시켜 줍니다. 이러한 효과는 '야영지' 메뉴의 왼쪽 하단에서 확인할 수 있습니다.^^만약 당신의 선단에 배가 두 척 이상일 경우에는 가장 느린 배의 속도로 전체 속도가 결정됩니다. 하지만, 선박이 두 척 이상부터는 선단을 분리 할 수 있게 됩니다. 그러기 위해서는 해안 가까이로 이동 후, '야영지'메뉴에서 '선단'을 클릭한 후 '해안에 선박을 내버려 둔다'를 선택하여 느린 선박을 그곳에 둘 수 있습니다. 내버려 둔 선박을 다시 모두 모으기 위해선, 누군가가 그 선박들을 모두 항구로 가지고 와야 합니다. 자신의 선박에 대한 모든 개요를 보기 위해선, '인물'에서 '선박'을 선택하십시오.
ip_sea_battle|해상전
ip_sea_battle_text|바다 위를 여행하기 시작한 후 어느 시점에서 당신은 해상 전투에 참여하게 될 것이다. 앞으로 노를 저어 나가거나, 앞으로 빨리 나아가거나, 뒤로 물러나거나, 아니면 계속 있도록 명령을 내릴 수 있습니다. 위쪽 화살표 및 아래쪽 화살표 키는 이러한 명령 간에 전환됩니다. 또한 명령을 직선, 우현, 강제어, 포트 또는 하드 포트로 전환할 수도 있습니다. 이 명령 사이에서 왼쪽 및 오른쪽 화살표 키 스위치를 사용합니다.^Current명령은 오른쪽 상단 모서리에 있는 배를 나타내는 화살표로 표시됩니다. Enter키를 눌러 돛을 올리고 백 스페이스를 배치하여 해당 장면을 전술적으로 볼 수 있습니다. 이 명령을 사용하여 배를 조종하는 느낌과 바람의 영향을 받아 보십시오. 적함에 충분히 가까워지면 탑승이 시작됩니다. 당신이 운이 좋다면, 당신의 아홉번째 전투함을 붙잡을 수 있다. 다른 군대는 남아 있는 배에 있을 것이다. 항구에서 또는 해저에서 캠핑하는 동안에 자신의 플래그십을 변경할 수 있다.^^상당히 큰 비행대를 이용하여 해양 지역에서 도시들을 공격할 수 있다. 그렇게 하기 위해서는, 단순히 적항 마을을 클릭하기만 하면, 일단 도착하면 먼저 상륙하지 않고 공격할 수 있는 옵션이 주어질 것입니다.
ip_ship_info|선박
ip_ship_info_text|조만간, 여러분들의 선박에 대해 투자하고 싶을 것입니다. 이렇게 하는 데는 여러가지 이유가 있습니다. 장기적으로 봤을 때, 이것은 가장 싼 형태의 해상 여행이다. 그것은 여러분에게 바다 위에서 움직이는 완전한 자유를 줍니다. 이는 거래와 급습에 대한 새로운 기회를 열어 준다.^반면에, 부정적인 측면이 있다. 우선, 배는 비싸고, 당신은 배를 사기 위해서 돈을 모아야 할 것이다. 또한, 배는 제한된 양의 troops.^Another만을 운반할 수 있다. 다른 중요한 고려 사항은 속도이다. 더 빠른 배를 가지고, 여러분은 더 성공적으로 다른 배들을 잡거나 피할 것입니다. 배의 속도는 배의 종류와 조건에 의해 결정된다. 오크 나무로 만든 배는 내구성이 좋지만, 너도 밤나무로 만든 배는 더 자주 수리해야 합니다.^^배를 살 준비가 되었다고 느끼면,'배 보기'를 클릭하여 마을 메뉴에서 항구 도시들은 세척의 배까지 팔 수 있지만 때로는 아무것도 구할 수 없다. 선박의 종류와 양은 시간이 지나면서 변화를 주었다. 배를 보려면 마을 메뉴에서 '배 보기'를 클릭하거나 배를 찾아 걷는다. 항구에서, 배의 돛을 커스터마이징하거나 오크로 만든 배를 그릴 수 있다. 그 선수의 배를 위한 특별한 돛이 하나 있다. 전용 그래픽 편집기를 사용하여 변경할 수 있습니다. 자세한 내용은 이 모드의 파일 중'사용자 지정 돛'폴더를 참조하십시오.^배를 가지고 있으면, 배 위의 안내문이 다른 방식으로 상호 작용하며 주저하지 않고 제공합니다. 배 기사도 맞춤형 배를 만들어 준다. 더 좋은 배는 여러분이 구입하고 여러분과 함께 가져가야 할 특별한 재료를 필요로 할 지도 모릅니다. 더 좋은 배는 또한 철의 항구에서 그들의 건조와 더 재능 있는 배 조종사들을 위해 더 많은 시간을 필요로 한다. 당신이 구축한 첫번째 7척의 배는 선박 주문 제작 메뉴에서 자유롭게 이름 붙일 수 있다.^
ip_wounds|상처
ip_wounds_text|큰 도시에 있는 의사들은 돈을 받고 상처를 치료해줄 수 있습니다. 그들은 치료를 시작할 경우, 몇일 만에 상처를 치료할 것입니다. 그리고 상처로 인한 모든 부정적인 영향들도 사라질 것입니다. 만약 상처를 치료하지 않을 경우, 상처는 흉터로 바뀌고 치료할 수 없게 되며, 그로 인한 부정적인 영향도 영구적으로 남게 될 것입니다.
ip_skills|기술 및 특성
ip_skills_text|'얼음과 불의 세계'에서 등장 인물을 만들거나 만들어 낼 때, 사람들은 많은 기술과 특성들에 주목해야 한다. 설득과 리더쉽과 같은 기술들은 무역, 임금, 귀족과 여성의 상호 작용, 그리고 강제적인 개종에 필수적이다. 인텔리전스와 카리스마와 같은 특성도 기본적으로 이러한 활동에 있어서 필수적인 것이지만, 결혼이나 지도자의 능력에도 영향을 미칠 것이다.^^'바다를 위한 세가지 중요한 기술:'항해 마스터,' 레벨 1은 최대 2척의 배를 허용한다. 7척의 배는 요트 마스터 레벨 4에서 최대치이다.^항법 기술 덕분에 해상에서 더 빨리 항해할 수 있다. 이는 육지에서 찾는 경로에 해당하는 해군 기술에 해당하는 것이다(그나저나 바다에서는 도움이 되지 않는다).
ip_division_placement|부서 배치
ip_division_placement_text|한개의 눈금을 선택하면 앞 순위의 중심이 표시된 자리에 배치됩니다.^^여러 눈금을 선택하면 상대적 F2를 선택할 때 마치 플레이어가 자리에서 서 있는 것처럼 분리되어 F7을 외웁니다. 디폴트는 보병대의 왼쪽, 기병대의 오른쪽, 그리고 전방으로 정렬한 것이다. 배치는 플레이어가 직접 Formations Options메뉴를 통해 헤딩하기 위해 선택하는 모든 부서에 대해 오버 라이드 된다.^캠프 메뉴 게임 옵션이 설정되면, 분할은 적을 향해 회전한다. 그렇지 않으면, 그들은 그들이 배치되었을 때 선수가 가졌던 얼굴을 유지할 것이다.
ip_AWoIaF_formations|전투에 대한 해답과 명령
