str_no_string|NO STRING!
str_reg1_silver_stags|{reg1} 실버
str_january_reg1_reg2|{reg2}년 1월 {reg1}일
str_february_reg1_reg2|{reg2}년 2월 {reg1}일
str_march_reg1_reg2|{reg2}년 3월 {reg1}일
str_april_reg1_reg2|{reg2}년 4월 {reg1}일
str_may_reg1_reg2|{reg2}년 5월 {reg1}일
str_june_reg1_reg2|{reg2}년 6월 {reg1}일
str_july_reg1_reg2|{reg2}년 7월 {reg1}일
str_august_reg1_reg2|{reg2}년 8월 {reg1}일
str_october_reg1_reg2|{reg2}년 10월 {reg1}일
str_november_reg1_reg2|{reg2}년 11월 {reg1}일
str_december_reg1_reg2|{reg2}년 12월 {reg1}일
str_yara|'크라켄의 딸' 야라 그레이조이
str_robin|베일의 로빈
str_asha|'크라켄의 딸' 야라 그레이조이
str_robert|베일의 로빈
str_town_nighttime| 늦은 밤이 되어 사람들이 거리를 떠났습니다.
str_door_locked|문이 잠겨 있다.
str_castle_is_abondened|성이 비어있는 것 같다.
str_town_is_abondened|도시에는 적을 막아낼 수비 병력이 없습니다.
str_place_is_occupied_by_player|당신의 병력에 의해 점령된 곳
str_place_is_occupied_by_enemy|적대적인 병력에 의해 점령된 곳
str_place_is_occupied_by_friendly|우호적인 병력에 의해 점령된 곳
str_do_you_want_to_retreat|정말 퇴각할 것입니까?
str_give_up_fight|전투를 포기할 것입니까?
str_do_you_wish_to_leave_tutorial|튜토리얼을 끝내겠습니까?
str_do_you_wish_to_surrender|항복하겠습니까?
str_can_not_retreat|근처에 적이 적이 있기 떄문에 퇴각할 수 없습니다.
str_s1_joined_battle_enemy|{s1}이(가) 적의 부대에 합류했습니다.
str_s1_joined_battle_friend|{s1}이(가) 당신의 부대에 합류했습니다.
str_entrance_to_town_forbidden|경비병들이 경비를 서고 있습니다. 아무 문제 없이 문을 통과하기란 불가능할 것 같습니다.
str_sneaking_to_town_impossible|경비병들이 눈치챘습니다. 아무리 잘 변장하더라도 안으로 들어갈 수 없을 것입니다.
str_battle_won|전투에서 승리하였습니다!
str_battle_lost|전투에서 패배하였습니다!
str_attack_walls_success|치열한 전투 후, 당신의 용감한 병사들이 적으로부터 성벽을 넘겨 받았습니다.
str_attack_walls_failure|당신의 병사들은 성벽을 향해 돌격하였으나 추풍낙엽과 같이 쓰러졌고, 살아남은 일부 병사들은 패배하여 도망쳐 버리고 더 이상 보이지 않습니다.
str_attack_walls_continue|치열한 전투는 계속되고 있고, 양쪽은 대등한 전투력으로 전투를 하고 있습니다. 계속되는 전투에도 불구하고, 요새는 아직 적의 손에 있습니다.
str_order_attack_success|당신의 병사들은 용감하게 싸워 적을 격파했습니다.
str_order_attack_failure|적군이 당신의 병사들을 죽여나갔고, 남은 병사들도 손쉽게 쓰러뜨리는 등 전투는 절망적으로 보입니다.
str_order_attack_continue|장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다.
str_join_order_attack_success|당신의 병력은 동맹군과 함께 잘 싸워 적군을 무찌른 영광을 함께 나누고 있습니다.
str_join_order_attack_failure|적군이 당신의 병사들을 죽여나갔고, 남은 병사들도 손쉽게 쓰러뜨리는 등 전투는 절망적으로 보입니다.
str_join_order_attack_continue|장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다.
str_siege_defender_order_attack_success|노련한 수비병들은 성벽을 지키고 있으며, 적군의 공격을 막아내고 완벽히 패배시켰습니다.
str_siege_defender_order_attack_failure|신속한 공격으로 인해 난전이 되었습니다. 용맹스런 노력에도 불구하고 우수한 수비병들은 성벽을 지킬 수 없었고, 적군은 마지막 수비병에게 칼을 꽃아 넣었습니다.
str_siege_defender_order_attack_continue|사방에서 성벽을 향해 쳐들어오는 적군들을 연속적으로 막아냈습니다. 하지만 아직 적들에게는 많은 병력이 남아있습니다. 공성은 계속됩니다.
str_hero_taken_prisoner|{s3}의 {s1}은(는) {s2}에 의해 포로로 붙잡혔습니다.
str_hero_freed|{s3}의 {s1}은(는) {s2}의 포로신세에서 자유롭게 되었습니다.
str_center_captured|{s2}은(는) {s3}의 {s1}을(를) 점령하였습니다.
str_troop_relation_increased|{s1}와의 관계가 {reg1}에서 {reg2}(으)로 향상되었습니다.
str_troop_relation_detoriated|{s1}와의 관계가 {reg1}에서 {reg2}(으)로 악화되었습니다.
str_faction_relation_increased|{s1} 세력과의 관계가 {reg1}에서 {reg2}(으)로 향상되었습니다.
str_faction_relation_detoriated|{s1} 세력과의 관계가 {reg1}에서 {reg2}(으)로 악화되었습니다.
str_party_gained_morale|당신의 부대는 {reg1}의 사기를 얻었습니다.
str_party_lost_morale|당신의 부대는 {reg1}의 사기를 잃었습니다.
str_other_party_gained_morale|{s1}은(는) {reg1} 사기를 얻었습니다.
str_other_party_lost_morale|{s1}은(는) {reg1} 사기를 잃었습니다.
str_qst_follow_spy_noticed_you|밀정이 당신을 발견했습니다. 그는 당신에게서 도망치고 있습니다!
str_father|아버지
str_husband|남편
str_wife|아내
str_daughter|딸
str_mother|어머니
str_son|아들
str_brother|형제
str_sister|자매
str_he|그
str_she|그녀
str_s3s_s2|{s3}의 {s2}
str_s5_is_s51|{s5}은(는) {s51}.
str_s5_is_the_ruler_of_s51|{s5}은(는) {s51}의 통치자입니다.
str_s5_is_a_nobleman_of_s6|{s5}은(는) {s6}의 귀족입니다. 
str_relation_mnus_100|복수심
str_relation_mnus_90|복수심
str_relation_mnus_80|증오
str_relation_mnus_70|증오
str_relation_mnus_60|증오
str_relation_mnus_50|적대적
str_relation_mnus_40|화남
str_relation_mnus_30|분개
str_relation_mnus_20|불만스러움
str_relation_mnus_10|의심
str_relation_plus_0|무관심
str_relation_plus_10|협조적
str_relation_plus_20|환영
str_relation_plus_30|호의적인
str_relation_plus_40|지지하는
str_relation_plus_50|우호적인
str_relation_plus_60|공손한
str_relation_plus_70|친근함
str_relation_plus_80|충성
str_relation_plus_90|헌신
str_relation_mnus_100_ns|{s60}는 당신과 원수지간입니다.
str_relation_mnus_90_ns|{s60}는 당신에게 무자비합니다.
str_relation_mnus_80_ns|{s60}는 당신에게 복수심을 가지고 있습니다.
str_relation_mnus_70_ns|{s60}는 당신과 대립 관계입니다.
str_relation_mnus_60_ns|{s60}는 당신을 증오하고 있습니다.
str_relation_mnus_50_ns|{s60}는 당신을 적대시하고 있습니다.
str_relation_mnus_40_ns|{s60}는 당신에게 화가 난 상태입니다.
str_relation_mnus_30_ns|{s60}는 당신에게 분개하고 있습니다.
str_relation_mnus_20_ns|{s60}는 당신에게 불만스러워 하고 있습니다.
str_relation_mnus_10_ns|{s60}는 당신을 의심스러워 하고 있습니다.
str_relation_plus_0_ns|{s60}는 당신에 대해서 무관심합니다.
str_relation_plus_10_ns|{s60}는 당신에 대해서 협조적입니다.
str_relation_plus_20_ns|{s60}는 당신을 환영합니다.
str_relation_plus_30_ns|{s60}는 당신에게 호의적입니다.
str_relation_plus_40_ns|{s60}는 당신에게 지지하고 있습니다.
str_relation_plus_50_ns|{s60}는 당신에게 우호적입니다.
str_relation_plus_60_ns|{s60}는 당신에게 공손합니다.
str_relation_plus_70_ns|{s60}는 당신을 좋아합니다.
str_relation_plus_80_ns|{s60}는 당신에게 충성을 바치고 있습니다.
str_relation_plus_90_ns|{s60}는 당신에게 헌신적입니다.
str_relation_reg1| 평판: {reg1}
str_center_relation_mnus_100|^주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_90|^주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_80|^주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_70|^주민들은 당신을 증오하고 있습니다.
str_center_relation_mnus_60|^주민들은 당신을 증오하고 있습니다.
str_center_relation_mnus_50|^주민들은 당신에게 극도의 적개심을 갖고 있습니다.
str_center_relation_mnus_40|^주민들은 당신을 매우 적대시 하고 있습니다.
str_center_relation_mnus_30|^주민들은 당신에게 적개심을 갖고 있습니다.
str_center_relation_mnus_20|^주민들은 당신에게 반항적입니다.
str_center_relation_mnus_10|^주민들은 당신에게 적대적입니다.
str_center_relation_plus_0|^주민들은 당신에게 무관심합니다.
str_center_relation_plus_10|^주민들은 당신을 받아들입니다.
str_center_relation_plus_20|^주민들은 당신에게 협력적입니다.
str_center_relation_plus_30|^주민들은 당신을 지지하기 시작하고 있습니다.
str_center_relation_plus_40|^주민들은 당신을 지지합니다.
str_center_relation_plus_50|^주민들은 당신을 매우 지지합니다.
str_center_relation_plus_60|^주민들은 당신에게 충성하고 있습니다.
str_center_relation_plus_70|^주민들은 당신에게 높은 충성심을 보이고 있습니다.
str_center_relation_plus_80|^주민들은 당신에게 헌신적으로 보입니다.
str_center_relation_plus_90|^주민들은 당신에게 맹렬하게 헌신적으로 보입니다.
str_town_prosperity_0|^{s60} 도시는 너무 가난하여 눈뜨고 볼 수가 없습니다.  (번영도: 0)
str_town_prosperity_10|^{s60} 도시는 모두가 더럽고 삭막합니다.  (번영도: 10)
str_town_prosperity_20|^{s60} 도시는 비참하고 황폐해 보입니다. (번영도: 20)
str_town_prosperity_30|^{s60} 도시는 가난하고 빈곤해 보입니다.  (번영도: 30)
str_town_prosperity_40|^{s60} 도시는 어려움을 겪고 있는 것처럼 보입니다. (번영도: 40)
str_town_prosperity_50|^{s60} 도시는 평범해 보입니다. (번영도: 50)
str_town_prosperity_60|^{s60} 도시는 번성할 것으로 보입니다. (번영도: 60)
str_town_prosperity_70|^{s60} 도시는 활동적으로 보입니다. (번영도: 70)
str_town_prosperity_80|^{s60} 도시는 꽤나 부유해 보입니다. (번영도: 80)
str_town_prosperity_90|^{s60} 도시는 부유하고 사람들로 북적이고 있습니다. (번영도: 90)
str_town_prosperity_100|^{s60} 도시는 그들의 부를 과시하고 있습니다. (번영도: 100)
str_fort_prosperity_0|^{s60} 요새의 가난이 참을 수 없을 정도로 심각합니다. (번영도: 0)
str_fort_prosperity_10|^{s60} 요새는 더럽고 황량해 보이기까지 합니다. (번영도: 10)
str_fort_prosperity_20|^{s60} 요새는 비참하고 황량해 보입니다. (번영도: 20)
str_fort_prosperity_30|^{s60} 요새는 가난하고 빈곤해 보입니다.  (번영도: 30)
str_fort_prosperity_40|^{s60} 요새는 어려움을 겪고 있는 것처럼 보입니다. (번영도: 40)
str_fort_prosperity_50|^{s60} 요새는 평범해 보입니다. (번영도: 50)
str_fort_prosperity_60|^{s60} 요새는 번성할 것으로 보입니다. (번영도: 60)
str_fort_prosperity_70|^{s60} 요새는 활동적으로 보입니다. (번영도: 70)
str_fort_prosperity_80|^{s60} 요새는 꽤나 부유해 보입니다. (번영도: 80)
str_fort_prosperity_90|^{s60} 요새는 부유하고 사람들로 북적이고 있습니다. (번영도: 90)
str_fort_prosperity_100|^{s60} 요새는 그들의 부를 과시하고 있습니다. (번영도: 100)
str_village_prosperity_0|^{s60} 마을은 가난이 참을 수 없을 정도로 심각합니다. (번영도: 0)
str_village_prosperity_10|^{s60} 마을은 더럽고 황량해 보이기까지 합니다. (번영도: 10)
str_village_prosperity_20|^{s60} 마을은 비참하고 황량해 보입니다. (번영도: 20)
str_village_prosperity_30|^{s60} 마을은 가난하고 빈곤해 보입니다.  (번영도: 30)
str_village_prosperity_40|^{s60} 마을은 어려움을 겪고 있는 것처럼 보입니다. (번영도: 40)
str_village_prosperity_50|^{s60} 마을은 평범해 보입니다. (번영도: 50)
str_village_prosperity_60|^{s60} 마을은 번성할 것으로 보입니다. (번영도: 60)
str_village_prosperity_70|^{s60} 마을은 활동적으로 보입니다. (번영도: 70)
str_village_prosperity_80|^{s60} 마을은 꽤나 부유해 보입니다. (번영도: 80)
str_village_prosperity_90|{s60}마을은 아주 잘 살며 번영해 보입니다. (번영도: 90)
str_village_prosperity_100|^{s60} 마을은 그들의 부를 과시하고 있습니다. (번영도: 100)
str_town_alt_prosperity_0|시장에서 판매되는 약간의 물품들은 거의 대부분의 주민들이 구입할 수 없는 가격입니다. 사람들은 영양실조에 걸렸고, 가축들은 아프거나 죽어가고 있으며, 그들의 거래수단은 이미 사라진지 오래입니다.. 뒷골목에는 이미 시체로 변해버린 여러명의 사람이 쓰러져 있습니다, 이보다 더 처참해질수 없는 상황입니다..
str_town_alt_prosperity_20|당신은 시장에서 가끔 모든 물건의 가격과 절반정도 비어있는 상점에 대한 불평을 들었습니다. 사람과 가축들이 영양실조에 걸릴수 있는 조짐과, 건물에 필요한 수리도구의 지연으로 인한 사람들의 어려움을 보았습니다. 대부분의 사람들이 일자리를 찾기위해 다른 곳으로 이동할 준비를 하고 있는 상황입니다.
str_town_alt_prosperity_40|당신은 시장에서 모든 물건의 가격에 대한 약간의 불평을 들었습니다. 그러나 그것은 불평분자의 습관적인 불만일뿐, 물건의 가격들은 판매에 비교적 적합한 가격입니다. 때때로 비어있는 건물과 가게, 낡고 있는 수레들을 보았지만, 상황은 그런데로 나쁘지 않는 상태입니다.
str_town_alt_prosperity_60|사람들은 어느정도 부유해 보입니다. 장인들의 사업이 번창하고 있으며, 다른 지역에서 온 일부 이주자들은 그들의 행운을 찾은 것 같아 보입니다. 도시는 많이 발전한 상태입니다.
str_town_alt_prosperity_80|성벽과 거리, 그리고 각종 건물들이 화려하게 꾸며져 있습니다. 시장에는 각종 흥미롭고 유용한 물품들과 일자리를 찾아 온 주변 마을과 도시의 이주민들이 많이 있습니다. 망치질의 경쾌한 리듬과 휘파람 불며 배달하는 사람, 손님에게 과일 하나를 덤으로 주는 인심 좋은 음식 상인의 밝은 미소를 보며, 이 도시가 얼마나 부유하고 밝은 도시인지를 알수 있었습니다. 
str_village_alt_prosperity_0|이 마을은 더 이상 처참해질수 없을만큼 완전히 무너진 상태입니다.. 오직 소수의 사람만이 잡초가 우거진 들판에서 일할 수 있는 상태입니다. 그 이외에 대부분의 주민들은 몸이 약하고 영양 실조에 걸렸거나, 질병에 걸려있습니다. 이 죽음의 마을을 떠나 다른 곳으로 이동하는 사람들도 눈에 띕니다. 짐을 운반하는 가축들은 오랜 기간동안 굶주려 있었고, 마을 외곽에는 사람을 포함한 가축들의 시체가 쓰러져 그대로 방치되어 있었습니다..
str_village_alt_prosperity_20|소수의 농부들과 가축들은 들판에 나가 있지만, 마을 주민들에게 먹을 것을 찾아 다른 장소로 이주하기를 권하고 있습니다. 농 기구들은 녹슬거나 부서진 걸로 보입니다. 소수의 주민들이 덤불과 잡초로 무성한 들판의 바깥 부분을 개간하고 있었습니다.
str_village_alt_prosperity_40|들판과 과수원은 제철에 열심히 일하는 마을 주민들로 바쁩니다. 사람들과 가축 모두 비교적 건강하고 배불러 보입니다. 그러나 바깥쪽 들판의 약간만 개간된 상태이고, 몇몇의 부서진 울타리만 수리되었으며, 여전히 필요한 모든 일을 하기에는 손이 많이 부족한 상황입니다.
str_village_alt_prosperity_60|들판과 과수원의 흥겨운 콧노래와 꽉찬 곡물 포대, 그리고 말린 고기가 마을의 농경지와 목장의 생산성을 증명하고 있습니다.
str_village_alt_prosperity_80|들판과 과수원에 흥겨운 콧노래와 방금 파놓은 관개 수로로 인해 농부들은 충분한 휴가 시간과 에너지를 가지고 경작지를 확장해 가고 있습니다. 계절 노동자들은 일을 도와주기 위해 몰려 들고 대체적으로 번창에 참여하는 것 같습니다.
str_oasis_village_alt_prosperity_0|과일 농장은 사실상 버려졌고, 물을 대던 수로는 눈으로 막혀버렸습니다. 눈에 띄는 몇몇 주민들은 영양 실조에 지쳐 보입니다. 가축들은 굶주린 지 오래됐거나 잡아먹혔습니다. 몇몇 가축 시체들은 변두리에 방치되어 있고, 그 뼈는 사나운 늑대들이 갉아먹은 흔적이 있습니다.
str_oasis_village_alt_prosperity_20|한 두 명의 마을 주민들이 과일 농장으로 향하는 것을 볼 수 있습니다. 사막의 모래들이 정원을 덮고 있습니다. 수로는 대부분 막혀버렸고, 우물과 물통들은 모래로 가득 차 있습니다.
str_oasis_village_alt_prosperity_40|남자와 여자들은 과일 농장을 향해 가거나 나무 꼭대기에 올라가 과일을 따느라 분주합니다. 건강한 가축들은 농지에 물을 대는 펌프와 휠을 끌고 있습니다. 수로와 물통을 사용하기 위해 약간의 보수가 필요할 것 같습니다.
str_oasis_village_alt_prosperity_60|과일 농장과 과수원은 활기로 가득 차 있습니다. 농부들은 과일을 따기 위해 나무 꼭대기로 올라 서로를 불러대고 있습니다. 나무 펌프의 삐걱거림, 가축들이 우는 소리, 관개 수로에 힘차게 흐르는 물소리에 마을은 주민들의 관심 속에 점점 번영하고 있습니다.
str_oasis_village_alt_prosperity_80|과일 농장은 풍성한 수확물을 시장에 팔려고 싣는 농부들의 활기로 가득 차 있습니다. 남자와 여자들은 새로 만든 땅에 물을 대기 위해 우물과 수로를 파느라 열심입니다.
str_acres_grain|넓은 곡식밭
str_acres_orchard|넓은 과수원과 포도원
str_acres_oasis|넓은 오아시스 관개지
str_looms|직조기
str_boats|선박
str_head_cattle|소
str_head_sheep|양
str_mills|풍차(제분소)
str_kilns|가마
str_pans|팬
str_deposits|예금
str_hives|꿀벌통
str_breweries|양조장
str_presses|압축기
str_smithies|대장간
str_caravans|캐러밴
str_traps|함정
str_gardens|작은 정원
str_tanneries|무두질 통
str_forests|숲
str_master_miller|제분소 장인
str_master_brewer|양조장 장인
str_master_presser|압착기 장인
str_master_smith|대장간 장인
str_master_tanner|무두질 장인
str_master_weaver|직조 장인
str_master_dyer|염색 장인
str_war_report_minus_4|우리는 전쟁에서 질 수 밖에 없습니다.
str_war_report_minus_3|상황이 불리해졌습니다.
str_war_report_minus_2|모든 것이 우리에게 불리합니다.
str_war_report_minus_1|단합만 잘 된다면 우리는 전쟁에서 이길 수 있습니다.
str_war_report_0|우리는 여전히 적과 대등한 상황에 있습니다.
str_war_report_plus_1|우리는 전쟁에서 승리하기 위해 동등한 기회를 가집니다.
str_war_report_plus_2|만사가 잘 되어가고 있습니다.
str_war_report_plus_3|그들을 정복하는데 아무런 어려움도 없습니다.
str_war_report_plus_4|우리는 전쟁에서 이길 수밖에 없습니다.
str_persuasion_summary_very_bad|당신은 {s50}을 설득하는 데 최선을 다했습니다, 그러나 무심결에 당신의 생각도 표현되었고, 당신이 이해하기 시작할 때마다, 전적으로 당신을 뒤쫓는 속임수가 잘못된 것 같았습니다. 말하기를 마칠 무렵에 당신은 부탁이나 예절 등 일관성 있는 주제로 이야기하는 것에 실패했습니다, 그리고 당신의 실망감이 스스로 잘못된 구멍 속으로 깊이 파고들게 했습니다. 당연히, {s50}에게서는 어떠한 감흥도 보여지지 않습니다.
str_persuasion_summary_bad|당신은 {s50}을(를) 설득했습니다, 그러나 {reg51?그녀:그}에게 시작부터 당신의 생각을 드러냈습니다. 심지어 당신 귀에다 대고 신중하게 생각하도록 말하는 것과 같았습니다. {s50}에게도 당신의 이야기는 신뢰할 만한 수준의 의견으로 받아들여지기 어려웠습니다.
str_persuasion_summary_average|{s50}은(는) 섬세하고 꽤나 말을 잘하는 사람으로 판명났으며, {reg51?그녀:그}의 확실한 반론에 당신은 아무런 확답도 이끌어 낼 수 없었습니다. 끝내 토론은 아무런 수확 없이 끝났습니다.
str_persuasion_summary_good|논쟁에 임했을 때 생각을 빠르고 부드럽게, 당신의 의견을 수렴시키며, {s50}에게 몇 가지를 양보하였습니다. 그러나, {reg51?그녀:그}는 당신의 의견을 확신하지 못하고 있습니다.
str_persuasion_summary_very_good|당신은 모두가 경청하고 생각할 수 있는 인상적인 연설을 하였습니다. 모든 것이 당신의 뜻대로 흘러갈 것으로 보입니다. 몇몇 단어들이 {s50}에게 인상적인 감동을 주었고, {reg51?그녀:그}는 당신을 돕는 쪽으로 결정할 것으로 보입니다.
str_persuasion_summary_very_bad_center|불행하게도 사령관은 당신을 충분히 신뢰하지 않는 것처럼 보이지만 최선을 다해 {s50} (으)로 사령관을 설득해보십시오. 당신은 이미 이것이 잘 끝나지 않을 것임을 깨닫고 있고 아마도 당신의 더 나은 생각 중 하나가 아니라는 것을 알았습니다.^잠시 후 {s50}의 사령관은 교환을 하지 않기로 결정합니다.
str_persuasion_summary_bad_center|당신은 {s50}에서 사령관을 설득하려하지만,{reg51?그녀:그}는 처음부터 매우 무관심 해 보입니다. 이미 당신은 그들이 싸우지 않고 포기 할것이라는 것을 알고 있으므로, 그래서 당신은 떠나기로 결정한다.
str_persuasion_summary_average_center|{s50}의 사령관은 당신과 협력하기를 꺼려 하며, 당신의 요청을 들어주지 않기로 하였습니다. 당신은 이 일에 지체하지 않고 떠나기로 결정합니다.
str_persuasion_summary_good_center|{s50}의 사령관이 교환을 원하는 것 같지만, {reg51?그녀:그} 은(는) 여전히 당신의 요청에 대한 의심을 표현하고 있다.
str_persuasion_summary_very_good_center|당신의 요청은 성공적이었습니다. {s50}의 사령관은 사용자의 조건에 만족하고 있으며 {reg51?그녀:그} 는 당신을 돕기 위해 훨씬 더 호의적인 것 같습니다.
str_secret_sign_1|자정에 무기고에서 춤을...
str_secret_sign_2|저는 질 좋은 태피스트리를 판매하고 있다. 몇 개를 주문하시겠습니까?
str_secret_sign_3|친구의 친구가 나를 보냈습니다...
str_secret_sign_4|동쪽에서 바람이 불면 강은 붉게 물듭니다.
str_countersign_1|하지만 의상이나 촛대를 위한 춤은 추지 않으실 겁니까?
str_countersign_2|파란색으로 가지고 있는 것은 없나요?
str_countersign_3|그러나, 내 친구, 친구의 친구 중에도 나 같은 친구는 없습니다.
str_countersign_4|아파본 적 있나요?
str_name_1|자노스
str_name_2|아더
str_name_3|비세리스
str_name_4|에이멀
str_name_5|프레드릭
str_name_6|마크
str_name_7|군터
str_name_8|피터
str_name_9|프랜시스
str_name_10|드레이크
str_name_11|제롤드
str_name_12|홀사
str_name_13|오스레드
str_name_14|시어도어
str_name_15|베젤
str_name_16|윌리엄
str_name_17|크레이그
str_name_18|캐릭
str_name_19|인더스
str_name_20|데이비드
str_name_21|트레버
str_name_22|야누스 
str_name_23|벤자민
str_name_24|라이안
str_name_25|하이웰
str_surname_1|화이트 하버의 {s50}
str_surname_2|티로시의 {s50}
str_surname_3|더스켄데일의 {s50} 
str_surname_4|용맹의 {s50}
str_surname_5|브라보스의 {s50}
str_surname_6|하이가든의 {s50}
str_surname_7|벨리우스 {s50}
str_surname_8|에로스 {s50}
str_surname_9|던그래던 {s50}
str_surname_10|카라카투스 {s50}
str_surname_11|나이트 힐의 {s50}
str_surname_12|나이트송의{s50}
str_surname_13|이벤의 {s50}
str_surname_14|슬레이어 {s50}
str_surname_15|마스터 {s50} 
str_surname_16|전사 {s50}
str_surname_17|용감한 {s50}
str_surname_18|대리의 {s50}
str_surname_19|해로웨이 영주의 {s50} 
str_surname_20|보울딩 {s50} 
str_surname_21|긴 {s50} 
str_surname_22|수척한 {s50} 
str_surname_23|부드럽고 매끈한 수염의 {s50}
str_surname_24|참새 {s50}
str_surname_25|거지 {s50} 
str_surname_26|상처입은 {s50}
str_surname_27|공정한 {s50}
str_surname_28|암울한 {s50}
str_surname_29|붉은 {s50}
str_surname_30|검은 {s50}
str_surname_31|키가 큰 {s50}
str_surname_32|별 모양의 눈을 가진 {s50}
str_surname_33|겂없는 {s50}
str_surname_34|씩씩한 {s50}
str_surname_35|교활한 {s50}
str_surname_36|겁쟁이 {s50}
str_surname_37|밝은 {s50}
str_surname_38|재빠른 {s50}
str_surname_39|음유시인 {s50}
str_surname_40|용감한 {s50}
str_surname_41|불같은 {s50}
str_surnames_end|가문 종료
str_number_of_troops_killed_reg1|다음의 군사가 죽음: {reg1}명
str_number_of_troops_wounded_reg1|다음의 군사가 부상: {reg1}명
str_number_of_own_troops_killed_reg1|다음의 아군 병사가 죽음: {reg1}명
str_number_of_own_troops_wounded_reg1|다음의 아군 병사가 부상: {reg1}명
str_retreat|퇴각!
str_siege_continues|전쟁을 계속합니다...
str_casualty_display|당신의 사상자: {s10}^적의 사상자: {s11}{s12}
str_casualty_display_hp|^당신은 {reg1}의 충격으로 부상당했습니다.
str_quest_log_updated|임무 기록이 갱신되었습니다.
str_banner_selection_text|당신은 깃발을 소유할 수 있게 되었습니다. 당신의 깃발은 당신의 지위를 나타내고 당신에게 명예를 가져다줄 것입니다. 어떤 깃발이 마음에 드나요?
str_retirement_text_1|당신의 돈이 오래가지 못한다는 것을 깨닫는 데 너무 오래 걸렸습니다. 아끼려 노력했음에도 재산을 전부 쓰는 데는 오래 걸리지 않았습니다. 그리고 모험을 다시 시작하기 위한 몇 번의 무모한 시도에도 불구하고 가난한 생활을 계속할 수밖에 없었습니다. 당신은 {s9}에서 완전히 거지가 되었고, 셉트리의 구호품과 기부금으로 살아가게 되었습니다.
str_retirement_text_2|당신의 돈이 오래가지 못한다는 것을 깨닫는 데 너무 오래 걸렸습니다. 아끼려 노력했음에도 재산을 전부 쓰는 데는 오래 걸리지 않았습니다. 당신 손에서 실버가 사라질 때마다, {s9}의 뒷골목에서 범죄자의 길을 걸을 수 밖에 없었으며, 당신의 기술을 이용해 여자들과 가난한 마을 사람들로부터 돈을 훔치며 살아가게 되었습니다.
str_retirement_text_3|당신의 돈이 오래가지 못한다는 것을 깨닫는 데 너무 오래 걸렸습니다. 아끼려 노력했음에도 재산을 전부 쓰는 데는 오래 걸리지 않았습니다. 그리고 당신은 빈털터리 방랑자가 되었으며, 선술집들을 오가며 더 이상 믿는 사람도 없는 전쟁 이야기로 순진한 손님들을 꾀어 술이나 얻어 마시며 살아가게 되었습니다.
