
str_no_string|NO STRING!
str_tutorial_ammo_refilled|탄약이 다시 지급되었습니다.
str_tutorial_failed|실패하셨지만 괜찮습니다. 안내를 잘 따르시면 다음에 더 잘하실 수 있으실 겁니다. Tab키를 눌러 메뉴로 돌아가서 튜토리얼을 다시 시도하실 수 있습니다.
str_finished|(완료)
str_delivered_damage|{reg60}의 피해 전달.
str_archery_target_hit|거리: {reg61} 야드. 점수: {reg60}
str_use_baggage_for_inventory|전투 중 인벤토리를 사용하기 위해서는 상자를 이용하세요 - 상자는 시작 위치에 있습니다.
str_cant_use_inventory_now|지금은 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_arena|아레나에서는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_disguised|위장한 상태에서는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_tutorial|훈련 캠프에서는 인벤토리를 사용할 수 없습니다.
str_1_denar|1 디나르
str_reg1_denars|{reg1} 디나르
str_january_reg1_reg2|{reg2}년 1월 {reg1}일
str_february_reg1_reg2|{reg2}년 2월 {reg1}일
str_march_reg1_reg2|{reg2}년 3월 {reg1}일
str_april_reg1_reg2|{reg2}년 4월 {reg1}일
str_may_reg1_reg2|{reg2}년 5월 {reg1}일
str_june_reg1_reg2|{reg2}년 6월 {reg1}일
str_july_reg1_reg2|{reg2}년 7월 {reg1}일
str_august_reg1_reg2|{reg2}년 8월 {reg1}일
str_september_reg1_reg2|{reg2}년 9월 {reg1}일
str_october_reg1_reg2|{reg2}년 10월 {reg1}일
str_november_reg1_reg2|{reg2}년 11월 {reg1}일
str_december_reg1_reg2|{reg2}년 12월 {reg1}일
str_town_nighttime| 늦은 밤이 되어 사람들이 거리를 떠났습니다.
str_door_locked|문이 잠겨있습니다.
str_castle_is_abondened|성이 비어있는 것 같습니다.
str_town_is_abondened|도시는 적을 막아낼 수비병이 없습니다.
str_place_is_occupied_by_player|당신의 세력이 지배하는 곳
str_place_is_occupied_by_enemy|적대적인 세력이 지배하는 곳
str_place_is_occupied_by_friendly|우호적인 세력이 지배하는 곳
str_do_you_want_to_retreat|정말 퇴각하시겠습니까?
str_give_up_fight|전투를 포기하시겠습니까?
str_do_you_wish_to_leave_tutorial|튜토리얼을 끝내시겠습니까?
str_do_you_wish_to_surrender|항복하시겠습니까?
str_can_not_retreat|적이 근처에 있어서 퇴각할 수 없습니다.
str_s1_joined_battle_enemy|{s7}이(가) 적의 부대에 합류 했습니다.
str_s1_joined_battle_friend|{s7}이(가) 당신의 부대에 합류 했습니다.
str_entrance_to_town_forbidden|도시 경비병들이 경비를 서고 있습니다. 아무 문제없이 문을 통과하기란 불가능할 것 같습니다.
str_sneaking_to_town_impossible|도시 경비병들이 눈치 챘습니다. 당신이 아무리 잘 변장하더라도 문을 통과할 수 없습니다.
str_battle_won|당신은 전투에서 승리하였습니다!
str_battle_lost|당신은 전투에서 패배하였습니다!
str_attack_walls_success|치열한 전투 후, 당신의 용감한 병사들이 적으로부터 성벽을 넘겨 받았습니다.
str_attack_walls_failure|당신의 병사들은 성벽을 향해 돌격하였으나 파도에 빠지듯이 사라지고, 살아 남은 일부 병사들은 바로 패배 하여 도망쳐 버리고 더 이상 보이지 않습니다.
str_attack_walls_continue|치열한 전투는 계속되고 있고, 양쪽은 대등한 전투력으로 전투를 합니다. 당신 병력의 노력에도 불구하고, 성은 적의 손에 있습니다.
str_order_attack_success|당신의 병사들은 용감하게 싸워 적을 격파했습니다.
str_order_attack_failure|적군이 당신의 병사들을 줄여나갔고, 기진맥진한 생존자들을 손쉽게 쓰러뜨리며 전투는 절망적으로 보입니다.
str_order_attack_continue|장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다.
str_join_order_attack_success|당신의 병력은 동맹군과 함께 잘 싸워 적군을 무찌른 영광을 함께 나누고 있습니다.
str_join_order_attack_failure|적군이 당신의 병사들을 줄여나가고, 기진맥진한 생존자들을 손쉽게 쓰러뜨리며 전투는 절망적으로 보입니다.
str_join_order_attack_continue|장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다.
str_siege_defender_order_attack_success|기술과 용기를 가진 수비병들은 성벽을 확보하고 있으며, 적군의 공격을 막아내고 완벽히 패배 시켰습니다.
str_siege_defender_order_attack_failure|신속한 공격으로 인해 난전이 되었습니다. 용맹스런 노력에도 불구하고 우수한 수비병들은 성벽을 지킬 수 없었고, 적군은 마지막 수비병에게 칼을 찌릅니다.
str_siege_defender_order_attack_continue|사방에서 성벽을 얻기 위한 치열한 시도들이 반복해서 실패하고 있습니다. 그러나 아직 승리를 원하는 많은 적군들이 남아있습니다. 공성은 계속 되고 있습니다.
str_hero_taken_prisoner|{s3}의 {s1}은(는) {s2}에 의해 포로로 붙잡혔습니다.
str_hero_freed|{s3}의 {s1}은(는) {s2}에 의해 포로신세에서 자유롭게 되었습니다.
str_center_captured|{s2}은(는) {s3}의 {s1}을(를) 점령하였습니다.
str_troop_relation_increased|{s1}와(과)의 관계가 {reg1}에서 {reg2}으로 향상되었습니다.
str_troop_relation_detoriated|{s1}와(과)의 관계가 {reg1}에서 {reg2}으로 악화되었습니다.
str_faction_relation_increased|{s1} 세력과의 관계가 {reg1}에서 {reg2}으로 향상되었습니다.
str_faction_relation_detoriated|{s1} 세력과의 관계가 {reg1}에서 {reg2}으로 악화되었습니다.
str_party_gained_morale|당신의 부대는 {reg1}의 사기를 얻었습니다.
str_party_lost_morale|당신의 부대는 {reg1}의 사기를 잃었습니다.
str_other_party_gained_morale|{s1}은(는) {reg1} 사기를 얻었습니다.
str_other_party_lost_morale|{s1}은(는) {reg1} 사기를 잃었습니다.
str_qst_follow_spy_noticed_you|스파이가 당신을 발견했습니다. 그는 도망치고 있습니다!
str_father|아버지
str_husband|남편
str_wife|아내
str_daughter|딸
str_mother|어머니
str_son|아들
str_brother|형제
str_sister|자매
str_he|그
str_she|그녀
str_s3s_s2|{s3}의 {s2}
str_s5_is_s51|{s5} 은(는) {s51}.
str_s5_is_the_ruler_of_s51|{s5}은(는) {s51}의 통치자입니다.
str_s5_is_a_nobleman_of_s6|{s5}은(는) {s6}의 귀족입니다.
str_relation_mnus_100|복수심
str_relation_mnus_90|복수심
str_relation_mnus_80|복수심
str_relation_mnus_70|증오
str_relation_mnus_60|증오
str_relation_mnus_50| 적대적
str_relation_mnus_40|  화남
str_relation_mnus_30|    분개함
str_relation_mnus_20|      불만스러움
str_relation_mnus_10|        의심함
str_relation_plus_0|         무관심
str_relation_plus_10|          협조적
str_relation_plus_20|          환영함
str_relation_plus_30|            호의적
str_relation_plus_40|             지지함
str_relation_plus_50|              우호적
str_relation_plus_60|               공손함
str_relation_plus_70|                 친근함
str_relation_plus_80|                  충성함
str_relation_plus_90|                   헌신적
str_relation_mnus_100_ns|{s60}은(는) 당신에게 복수심을 가졌습니다.
str_relation_mnus_90_ns|{s60}은(는) 당신에게 복수심을 가졌습니다.
str_relation_mnus_80_ns|{s60}은(는) 당신에게 복수심을 가졌습니다.
str_relation_mnus_70_ns|{s60}은(는) 당신을 증오합니다.
str_relation_mnus_60_ns|{s60}은(는) 당신을 증오합니다.
str_relation_mnus_50_ns|{s60}은(는) 당신을 적대시합니다.
str_relation_mnus_40_ns|{s60}은(는) 당신에게 화가 난 상태입니다.
str_relation_mnus_30_ns|{s60}은(는) 당신에게 분개하고 있습니다.
str_relation_mnus_20_ns|{s60}은(는) 당신에게 불만스러워 하고 있습니다.
str_relation_mnus_10_ns|{s60}은(는) 당신을 의심스러워하고 있습니다.
str_relation_plus_0_ns|{s60}은(는) 당신에 대해서 무관심합니다.
str_relation_plus_10_ns|{s60}은(는) 당신에 대해서 협조적입니다.
str_relation_plus_20_ns|{s60}은(는) 당신은 환영합니다.
str_relation_plus_30_ns|{s60}은(는) 당신에게 호의적입니다.
str_relation_plus_40_ns|{s60}은(는) 당신에게 지지적입니다.
str_relation_plus_50_ns|{s60}은(는) 당신에게 우호적입니다.
str_relation_plus_60_ns|{s60}은(는) 당신에게 공손합니다.
str_relation_plus_70_ns|{s60}은(는) 당신을 좋아합니다.
str_relation_plus_80_ns|{s60}은(는) 당신에게 충성적입니다.
str_relation_plus_90_ns|{s60}은(는) 당신에게 헌신적입니다.
str_relation_reg1| 평판: {reg1}
str_center_relation_mnus_100|주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_90|주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_80|주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_70|주민들은 당신을 매우 증오하고 있습니다.
str_center_relation_mnus_60|주민들은 당신을 증오하고 있습니다.
str_center_relation_mnus_50|주민들은 당신에게 극도의 적개심을 갖고 있습니다.
str_center_relation_mnus_40|주민들은 당신을 매우 적대시하고 있습니다.
str_center_relation_mnus_30|주민들은 당신에게 적개심을 갖고 있습니다.
str_center_relation_mnus_20|주민들은 당신에게 반항적입니다.
str_center_relation_mnus_10|주민들은 당신에게 적대적입니다.
str_center_relation_plus_0|주민들은 당신에게 무관심합니다.
str_center_relation_plus_10|주민들은 당신을 받아들입니다.
str_center_relation_plus_20|주민들은 당신에게 협력적입니다.
str_center_relation_plus_30|주민들은 당신을 지지하기 시작합니다.
str_center_relation_plus_40|주민들은 당신을 지지합니다.
str_center_relation_plus_50|주민들은 당신을 매우 지지합니다.
str_center_relation_plus_60|주민들은 당신에게 충성합니다.
str_center_relation_plus_70|주민들은 당신에게 높은 충성심을 보입니다.
str_center_relation_plus_80|주민들은 당신에게 헌신적으로 보입니다.
str_center_relation_plus_90|주민들은 당신에게 맹렬하게 헌신적으로 보입니다.
str_town_prosperity_0|{s60} 도시는 처참합니다.
str_town_prosperity_1|가난하고 더러운 {s60} 도시는 절망적인 사람들과 거지,도둑으로 가득합니다.
str_town_prosperity_2|가난함을 유지하는 {s60} 도시는 비참한 황량한 장소로 보인다.
str_town_prosperity_3|{s60} 도시는 가난하고 실업자가 가득해 보입니다.
str_town_prosperity_4|{s60} 도시는 가난하고 방치된 것 같아 보인다.
str_town_prosperity_5|{s60} 도시는 어려움을 겪고 것으로 보인다.
str_town_prosperity_6|{s60} 도시는 주목할만한 것이 없는 같습니다.
str_town_prosperity_7|{s60} 도시는 낙관적으로 활성화된 것으로 보인다.
str_town_prosperity_8|{s60} 도시는 점차적으로 바빠질거 같습니다.
str_town_prosperity_9|{s60} 도시는 번영 했고 활동적이고 무역이 붐 빕니다.
str_town_prosperity_10|깨끗한 {s60} 도시는 부유해보이고 그것을 유지할수 있어보인다.
str_town_prosperity_11|흠없는 {s60} 도시는 부유하고 유복한 사람들이 붐 빕니다.
str_town_prosperity_12|화려한 {s60} 도시는 공개적으로 그 가치를 과시합니다.
str_village_prosperity_0|{s60} 촌락은 처참해 보입니다.
str_village_prosperity_1|가난하고 더러운 {s60}은 비참하게 가난하고 딱해보인다.
str_village_prosperity_2|가난함이 지속되는 {s60}은 매우 가난하고 황량해 보인다.
str_village_prosperity_3|{s60}은 경작되지 않은 논과 매우 가난해보이는 오두막집으로 둘러싸여있다.
str_village_prosperity_4|{s60}은 가난하고 게을러 보인다.
str_village_prosperity_5|{s60}은 조금 가난하고 어려워 보인다.
str_village_prosperity_6|{s60}은 주목 할만한 것이 없다.
str_village_prosperity_7|{s60}은 점차 나아지고 있고 활동적으로 보인다.
str_village_prosperity_8|깨끗한 {s60}은 번성해 보인다.
str_village_prosperity_9|번영한 {s60}은 분주한것 같습니다.
str_village_prosperity_10|깨끗하게 구성된 {s60}은 행복하고 번영해 보인다.
str_village_prosperity_11|흠없는 {s60}은 넓고 비옥한 논으로 둘러싸여 있어서 떨어져있어도 아주 잘 보인다.
str_village_prosperity_12|넓은 논과 행복한 문화를 가진 {s60}은 좋은 리더쉽으로 운영되어 기름지고 부유해 보인다.
str_town_alt_prosperity_0| 그리고 시장에서 파는 물품들은 거주민들이 사기엔 비싼 가격으로 보이고 그나마 물품도 몇 개 없으며, 그들의 거래수단은 이미 없어 진지 오래인 듯 보입니다. 그 때문인지, 마을의 뒷골목에는 파리와 죽은 개들의 시체가 있고, 거주민들은 먹지도 못했는지 영양실조에 걸려 있으며, 그들의 가축 또한 아프거나 죽어 가고 있습니다.
str_town_alt_prosperity_20|그리고 사람들은 이곳 시장은 가격도 비싸고 물건도 매번 반쯤 비어 있다는 불평을 하며 걸어갑니다. 이곳 거주민들과 그들의 가축들은 잘 먹지 못해서 영양실조에 걸릴 것으로 보이고, 마을 건물들과 울타리들은 이곳저곳 부수어진 채로 방치되어 있습니다. 그 때문에 대부분의 마을 사람들은 이 마을을 떠나고 싶어하는 눈치입니다.
str_town_alt_prosperity_40|그리고 시장을 지나다니는 사람들 가운데 몇 명에게서 가격에 대한 불평이 들리긴 하나, 가격이 그다지 비싸 보이지 않습니다.^ 마을 내 시장이 그다지 활성화되어 있는 것으로는 안보이지만, 이 정도면 나쁘지 않아 보입니다.
str_town_alt_prosperity_60|그리고 이 마을의 주민들은 행복해 보이고, 마을의 장인들은 윤택해 보이며, 다른 지역에서 온 주민들은 희망에 가득 차 보입니다.
str_town_alt_prosperity_80| 그리고 성벽과 거리 그리고 집들이 잘 가꾸어져 있으며, 시장을 가서 눈을 돌리면 북적거리는 사람들 속에 물건을 사거나 파는 풍경이 보이고, 일거리를 찾으러 이리저리 돌아다니는 사람들의 모습이 보입니다. 그리고 또 귀를 기울여보면 신나서 두들기는듯한 망치의 리듬이 울려 퍼지고, 장인의 작업장에서는 사업상 얘기를 하는 사람들의 웃음소리가 들립니다.
str_village_alt_prosperity_0| 그리고 몇몇 주민들을 제외한 많은 사람은 영양실조 상태이거나 이미 다른 곳으로 떠나버렸습니다. 짐을 운반하는 가축들은 오랫동안 굶주리거나 먹지 못한 걸로 보이고, 여전히 외곽에는 몇몇 시체가 보입니다. 그들의 뼈를 야생 동물들이 갉아먹는 모습도 보입니다.
str_village_alt_prosperity_20|그리고 몇몇 농부들과 가축들은 들판에 나가 있지만, 그들 외에는 먹을 것조차 구하기 어려운 걸로 보입니다. 농장 도구들은 녹슬고 부서져 있고, 마을 변두리에 개간한 땅들은 잡초만이 무성합니다.
str_village_alt_prosperity_40| 그리고 마을 주민들은 제철이 찾아온 들판과 과수원 덕에 바빠 보이지만 바쁜 만큼 행복해 보이며, 주민들은 배불러 보이고 가축들은 조금 살이 올랐습니다. 그러나 가장 바깥쪽 들판만 약간 개간한 상태이고, 몇몇을 제외한 울타리는 부서져 있으며, 그것 말고도 여전히 손볼 곳이 많아 보입니다.
str_village_alt_prosperity_60|그리고 들판과 과수원에서는 흥겨운 콧노래가 들리고, 꽉 찬 곡물 포대들과 말린 고기들이 여기저기 보이는 걸 보니 마을의 농경지와 목장은 꽤 번영한 걸로 보입니다.
str_village_alt_prosperity_80| 그리고 들판과 과수원에서는 흥겨운 콧노래가 들려옵니다. 최근 파놓은 관개수로 덕분에 충분한 휴식시간을 가질 수 있는 농부들은 힘이 넘쳐 보이고, 그 덕분인지 그들은 경작지를 확장해 가고 있으며, 수확 철인 마을의 번창을 위해 주민들이 모여 일을 도와주고 있습니다.
str_oasis_village_alt_prosperity_0|그리고 이 마을의 오아시스 농장은 사실상 버려진 것으로 보이고, 흙에 막혀 버린 수로 덕에 물이 공급되지 않아 그런지 마을은 전체적으로 황폐해 보이고, 마을 주민들은 먹을 음식이 없어 보입니다. 주민들은 거진 영양실조에 걸렸고, 가축들은 굶주린 지 오래됐거나 주민들이 잡아먹었으며, 숲의 자칼들의 이빨 자국이 새겨진 가축 시체들이 변두리에 방치되어 있습니다.
str_oasis_village_alt_prosperity_20|그리고 이 마을의 한두 명의 주민들이 오아시스 농장으로 향하고 있습니다. 하지만, 사막의 모래들이 정원을 덮고 있고, 수로는 대부분 막혀버렸으며, 우물과 물통들은 모래로 가득 차 있습니다.
str_oasis_village_alt_prosperity_40|그리고 이 마을의 주민들은 오아시스 농장을 향해가거나 나무꼭대기에 올라가 과일을 따느라 분주해 보이며, 건강한 가축들은 농지에 물을 대는 펌프질을 하고 휠을 끌고 있습니다. 그러나 수로는 제 작동을 하지 않아, 약간의 수리가 필요해 보입니다.
str_oasis_village_alt_prosperity_60| 그리고 이 마을의 오아시스 농장과 과수원은 활기가 넘칩니다. 농부들은 과일을 따려고 나무 꼭대기로 올라가 즐거운 목소리로 이리저리 부르고, 대화를 나누고 있습니다. 나무 펌프의 삐걱거림과 가축들이 우는소리, 관개수로가 힘차게 흐르는 물소리와 함께 마을이 점점 번영하는 소리가 들립니다.
str_oasis_village_alt_prosperity_80|그리고 이 마을의 오아시스 농장은 풍성한 수확물을 시장에 내다 팔기 위해 수레에 싣는 농부들의 활기로 가득 차 있고, 주민들은 새로 경작한 땅에 물을 대려고 열심히 우물과 수로를 파고 있습니다.
str_acres_grain|넓은 곡식 밭
str_acres_orchard|넓은 과수원과 포도원
str_acres_oasis|넓은 오아시스 관개지
str_looms|직조기
str_boats|배
str_head_cattle|소
str_head_sheep|양
str_mills|풍차(제분소)
str_kilns|가마
str_pans|팬
str_deposits|예금
str_hives|꿀벌통
str_breweries|양조장
str_presses|압축기
str_smithies|대장간
str_caravans|사막실의 카라반
str_traps|함정
str_gardens|작은 정원
str_tanneries|무두질 통
str_master_miller|제분소 장인
str_master_brewer|양조장 장인
str_master_presser|압착기 장인
str_master_smith|대장장이
str_master_tanner|무두질 장인
str_master_weaver|직조 장인
str_master_dyer|염색장인
str_war_report_minus_4|우리는 전쟁에서 질 수 밖에 없습니다.
str_war_report_minus_3|상황이 아주 불리합니다.
str_war_report_minus_2|모든 것이 우리에게 불리할 것입니다.
str_war_report_minus_1|마음만 먹는다면 우리는 전장에서 이길수 있습니다.
str_war_report_0|우리는 적과 팽팽하게 대립하고 있습니다.
str_war_report_plus_1|우리는 전장에서 승리하기 위해 동등한 기회를 가집니다.
str_war_report_plus_2|만사가 잘 되어가고 있습니다.
str_war_report_plus_3|우리가 승리하는데 아무런 어려움도 없습니다.
str_war_report_plus_4|우리는 전장에서 이길수 밖에 없습니다.
str_persuasion_summary_very_bad|당신은 {s50}을(를) 설득하는데 최선을 다 했습니다, 그러나 당신의 생각도 표현되었습니다. 당신이 이해되기 시작할 때마다, 전적으로 당신을 뒤쫓는 속임수가 잘못된 것 같다. 말하기를 마칠 무렵에 당신에게 부탁이나 예절등 일관된 시점으로 나아가는 것에 실패 했습니다, 그리고 당신의 실망감이 스스로 잘못된 구멍속으로 깊이 파고들게 했습니다. 당연히, {s50}에게 어떠한 감동도 보여지지 않습니다
str_persuasion_summary_bad|당신은 {s50}을(를) 설득했습니다, 그러나 {reg51?그녀:그}에게 시작부터 당신의 겉모습을 드러냈습니다. 심지어 당신 귀에다 되고 신중하게 생각하도록 말하는것과 같았습니다. {s50},에게도 당신의 이야기는 신뢰할만 수준의 의견으로 받아들여지기 어렵습니다. 
str_persuasion_summary_average|{s50}을(를) 섬세한 마음과 숙련되고, 사실을 밝혔을 때, 그리고 {reg51?그녀:그}의 관계에 아무런 핵심이 되는 것을 구체적으로 가져오지 없을 때. 결국, 당신의 의견은 이 토론에 맨 밑에 깔리게 될 것이다.
str_persuasion_summary_good|논쟁에 임했을때 생각을 빠르고 부드럽게, 당신의 의견을 수렴시키며,{s50}에게 몇 가지를 양보한다. 그러나, {reg51?그녀:그}는 당신의 의견에 여전히 의심스러워 할 것입니다.
str_persuasion_summary_very_good|당신은 모두가 경청하고 생각할 수 있는 인상적인 연설을 하고 모두 동의를 표했을 때. 모든 것은 조용히 당신의 의견을 경청하고 뜻대로 흘러갈 것으로 보입니다. {s50}의 세관은 깊숙히 움직여, {reg51?그녀:그}는 당신을 돕는 쪽으로 결정할 것입니다.
str_secret_sign_1|자정에 무기고에서 춤을...
str_secret_sign_2|저는 괜찮은 드'샤르 태피스트리를 팔고 있습니다. 몇 개를 주문하시겠습니까?
str_secret_sign_3|친구의 친구가 나를 보냈습니다.
str_secret_sign_4|동쪽에서 바람이 불면 강은 붉게 물듭니다.
str_countersign_1|하지만 의상이나 촛대를 위한 춤은 추지 않으실 겁니까?
str_countersign_2|그래요, 당신은 파란색으로 가지고 있는 것은 없나요?
str_countersign_3|그러나, 내 친구, 친구의 친구 중에도 나 같은 친구는 없습니다.
str_countersign_4|아파본 적 있나요?
str_name_1|알버드
str_name_2|유수카르
str_name_3|시그마
str_name_4|탈리스크
str_name_5|리트만드
str_name_6|엘스
str_name_7|라우르크
str_name_8|브라가무스
str_name_9|탈
str_name_10|라민
str_name_11|솔크
str_name_12|푸타르
str_name_13|타무스
str_name_14|리차드
str_name_15|웰시아
str_name_16|를크
str_name_17|말운드
str_name_18|아우굴은
str_name_19|데이나드
str_name_20|조아하
str_name_21|라마
str_name_22|칼다란
str_name_23|브라바스
str_name_24|쿤드린
str_name_25|보리스
str_name_26|토마스
str_name_27|아스트리드
str_name_28|아구스
str_name_29|타를
str_name_30|바락
str_name_31|하라드
str_name_32|에레가스
str_name_33|볼도어
str_name_34|안센
str_name_35|펠마
str_name_36|하리스
str_name_37|트레바니어
str_name_38|로스번
str_name_39|라트무어
str_name_40|타니스
str_name_41|만손
str_name_42|야누스
str_name_43|덴톤
str_name_44|하일
str_name_45|더자르
str_name_46|길드로이크
str_name_47|보어만
str_name_48|로렌
str_name_49|사뮤엘크
str_name_50|윌리엄
str_name_51|다투바하야
str_name_52|쿠루
str_name_53|튜라
str_name_54|바하우카
str_name_55|에이단
str_name_56|블레드로스
str_name_57|브리시엘
str_name_58|친구어
str_name_59|그리프드
str_name_60|거어보두
str_name_61|우딕셀
str_name_62|로이
str_name_63|머민
str_name_64|마니드
str_name_65|보샤
str_name_66|모카나
str_name_67|오시
str_name_68|푸트라엘
str_name_69|레스멘
str_name_70|탈렌
str_name_71|가이본
str_name_73|하몬드
str_name_74|울리스
str_name_75|랍
str_name_76|베니스
str_name_77|펜그리브
str_name_78|보리스
str_name_79|보어스
str_name_80|아더
str_name_81|트렌스드
str_name_82|브라기
str_name_83|오슬린
str_name_84|바란
str_name_85|바렉
str_name_86|다한
str_surname_1|라리아의 {s50}
str_surname_2|살레온의 {s50}
str_surname_3|체즈의 {s50}
str_surname_4|아벤도르의 {s50}
str_surname_5|센더폴의 {s50}
str_surname_6|말레온의 {s50}
str_surname_7|포인스브룩의 {s50}
str_surname_8|레이븐스턴의 {s50}
str_surname_9|토바의 {s50}
str_surname_10|발론브라이의 {s50}
str_surname_11|윈드홀름의 {s50}
str_surname_12|야빅스홀름의 {s50}
str_surname_13|레인의 {s50}
str_surname_14|싱갈의 {s50}
str_surname_15|붉은 {s50}
str_surname_16|그림자걸음 {s50} 
str_surname_17|그림자 {s50} 
str_surname_18|긴 자루 {s50} 
str_surname_19|바클레이의 {s50}
str_surname_20|토드하의 {s50}
str_surname_21|긴 {s50}
str_surname_22|여윈 {s50} 
str_surname_23|비단수염 {s50} 
str_surname_24|참새 {s50}
str_surname_25|가난한 {s50}
str_surname_26|흉터의 {s50}
str_surname_27|공정한 {s50}
str_surname_28|음산한 {s50}
str_surname_29|붉은 {s50}
str_surname_30|검은 {s50}
str_surname_31|장신의 {s50}
str_surname_32|별의 눈 {s50}
str_surname_33|두려움을 모르는 {s50}
str_surname_34|용맹한 {s50}
str_surname_35|교활한 {s50}
str_surname_36|겁쟁이 {s50}
str_surname_37|빛나는 {s50}
str_surname_38|재빠른 {s50}
str_surname_39|음악가 {s50} 
str_surname_40|대담한 {s50}
str_surname_41|{s50} 그라바나르
str_surname_42|참나무방패 {s50}
str_surname_43|{s50} 클로비아르
str_surname_44|{s50} 호리안
str_surname_45|{s50}  트레디서
str_surname_46|{s50} 울프가르
str_surname_47|{s50} 텐다르
str_surname_48|{s50} 펜란드
str_surname_49|레이븐라드
str_surname_50|{s50} 아벤무어
str_surname_51|{s50} 센실
str_surname_53|남쪽다리 {s50}
str_surname_54|북쪽다리 {s50}
str_surname_55|해일 {s50}
str_surname_56|{s50} 폭스워스
str_surname_57|{s50} 그레스함
str_surname_58|{s50} 우드락
str_surname_59|{s50} 스피어드랜
str_surname_60|{s50} 에반소드
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|다음의 군사가 죽음: {reg1}명
str_number_of_troops_wounded_reg1|다음의 군사가 부상: {reg1}명
str_number_of_own_troops_killed_reg1|다음의 아군 병사가 죽음: {reg1}명
str_number_of_own_troops_wounded_reg1|다음의 아군 병사가 부상: {reg1}명
str_retreat|퇴각!
str_siege_continues|전쟁 계속...
str_casualty_display|당신의 사상자: {s10}^적의 사상자: {s11}{s12}
str_casualty_display_hp|^당신은 {reg1}의 충격으로 부상당했습니다.
str_quest_log_updated|퀘스트 알림이 갱신되었습니다.
str_banner_selection_text|당신은 깃발을 소유할 수 있게 되었습니다. 당신의 깃발은 당신의 지위를 나타내고 당신에게 명예를 가져다줄 것입니다. 어떤 깃발이 마음에 드시나요?
str_retirement_text_1|You grew weary of fighting Pendor's battles, and your old wounds trouble you these days. You spent too much money on troops and gear in your youth, but long since sold off your armor and weapons and are now virtually penniless. Thanks to the charity of the friendly lord of {s9} you get by, cleaning his stables and sweeping his courtyard. Your glory days are over and you no longer speak of them, though you still have your memories; little enough recompense for all those years of fighting for a lost cause. You keep those to yourself, because no one is interested in the ramblings of a half-crippled stableman who might once have been a soldier.
