dlga_start:close_window.1|{s3}
dlga_fighter_talk_train_combat_2:close_window|Let's begin then. I am ready.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Actually I want to do something else.
dlga_start:fighter_parry_try_again|Good. You were able to block my attacks successfully. You may repeat this practice and try to get faster each time, until you are confident of your defense skills. Do you want to have another go?
dlga_start:fighter_parry_try_again.1|Well that didn't go too well, did it? (Remember, you must press and hold down the right mouse button to keep your block effective.) Do you want to try again?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Yes. Let's try again.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|No, I think I am done for now.
dlga_start:fighter_parry_warn|Hey! We are doing a blocking practice, mate! You are supposed to block my attacks, not attack me back.
dlga_fighter_parry_warn:fighter_talk_train_parry|I am sorry. Let's try once again.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Sorry. I must leave this practice now.
dlga_fighter_talk_leave_parry:close_window|All right. As you wish.
dlga_start:fighter_combat_try_again|Well that didn't go too well, did it?  Don't feel bad, and try not to do same mistakes next time. Do you want to have a go again?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Yes. Let's do another round.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|No. That was enough for me.
dlga_fighter_talk_leave_combat:close_window|Well, all right. Talk to me again if you change your mind.
dlga_start:fighter_combat_try_again.1|Hey, that was good sparring. You defeated me, but next time I'll be more careful. Do you want to have a go again?
dlga_start:fighter_talk.2|Very good. You have learned how to attack from any direction you want. If you like we can try this again or move to a different exercise.
dlga_start:archer_challenge_2|Not bad. Not bad at all! You seem to have grasped the basics of archery. Now, try to do the same thing with a crossbow.Take the crossbow and the bolts over there and shoot those three targets. The crossbow is much easier to shoot with compared with the bow,but you need to reload it after each shot.
dlga_start:archer_challenge_2.1|Good. You didn't have too much difficulty using the crossbow either. Next you will learn to use throwing weapons.Pick up the javelins you see over there and try to hit those three targets. 
dlga_start:ranged_end|Well, with that you have recevied the basic skills to use all three types of ranged weapons. The rest will come with practice. Train each and every day, and in time you will be as good as the best marksmen in Perisno.
dlga_ranged_end:close_window|Now, you can go talk with the melee fighters or the horsemanship trainer if you haven't already done so. They can teach you important skills too.
dlga_start:archer_talk|Good day to you, young {reg33?lass:fellow}. I spend my days teaching about ranged weapons to anyone that is willing to learn.If you need a tutor, let me know and I'll teach you how to use the bow, the crossbow and the javelin.
dlga_archer_talk:archer_challenge|Yes, show me how to use ranged weapons.
dlga_archer_talk:close_window|No, not now.
dlga_archer_challenge:archer_challenge_2|All right. Your first training will be in bowmanship. The bow is a difficult weapon to master. But once you are sufficiently good at it, you can shoot quickly and with great power.Go pick up the bow and arrows you see over there now and shoot those targets.
dlga_archer_challenge_2:close_window|All right. I am ready.
dlga_archer_challenge_2:close_window.1|Just a minute. I want to do something else first.
dlga_start:horseman_melee_challenge_2|I hope you enjoyed the ride. Now we move on to something a bit more difficult. Grab the lance you see over there and ride around the course hitting each target at least once.
dlga_start:horseman_melee_challenge_2.1|Good! You have been able to hit all targets on horseback. That's no easy feat for a starter. Your next challange will be using a bow and arrows to shoot at the archery targets by the road. You need to put an arrow to each target to consider yourself successful.
dlga_start:horsemanship_end|Very good. You were able to shoot all targets from horseback. Keep riding and practicing each day and in time you will be an expert horseman.
dlga_horsemanship_end:close_window|Now, you can go talk with the melee fighters or the archery trainer if you haven't already done so. You need to learn everything you can to be prepared when you have to defend yourself.
dlga_start:horseman_talk|Good day! I have come here for some riding practice, but my old bones are aching badly so I decided to give myself a rest today. If you would like to practice your horsemanship, you can take my horse here. The exercise would be good for her.
dlga_horseman_talk:horseman_challenge|Yes, I would like to practice riding.
dlga_horseman_talk:close_window|Uhm. Maybe later.
dlga_horseman_challenge:horseman_melee_challenge_2|Good. Now, I will give you a few exercises that'll teach you riding and horseback weapon use. Your first assignment is simple. Just take your horse for a ride around the course. Go as slow or as fast as you like. Come back when you feel confident as a rider and I'll give you some tougher exercises.
dlga_horseman_melee_challenge_2:close_window|All right. I am ready.
dlga_horseman_melee_challenge_2:close_window.1|Just a minute. I need to do something else first.
dlga_tutorial_troop_default:close_window|Hey, I am trying to practice here. Go, talk with the archery trainer if you need guidance about ranged weapons.
dlga_start:lord_prison_break_confirm_3|Is there a change of plans?
dlga_start:lord_prison_break|What's going on?
dlga_start:aroulo_meet_on_island_backstory|I can speak your tongue. What is your business here?
dlga_aroulo_meet_on_island_backstory:aroulo_meet_on_island_backstory_1|I am nothing but a merchant, sir.
dlga_aroulo_meet_on_island_backstory_1:aroulo_meet_on_island_backstory_2|Merchant you say? I take it your wares were on that ship?
dlga_aroulo_meet_on_island_backstory_2:aroulo_meet_on_island_backstory_3|Indeed.
dlga_aroulo_meet_on_island_backstory_3:close_window|Well... There are many bandits, is all I can say. I know not who those ones are. It seems you are safe now, I wish you luck in your travels.
dlga_aroulo_meet_on_island_backstory:aroulo_meet_on_island_backstory_attack|My business? I will be having that armor of yours, or I will take it off your dead body.
dlga_aroulo_meet_on_island_backstory_attack:close_window|You are a fool. Okel Jakkaarii!
dlga_start:close_window.4|Oleth hrakkarikh, lanqoyi rhoa.
dlga_start:ovkun_response|Where is Torsson?
dlga_ovkun_response:ovkun_response_died|He died bravely, I am sorry I could not save him.
dlga_ovkun_response:ovkun_response_games|Where is Torsson? That is a very good question; he couldn't make it on the voyage back, perhaps he is still raiding.
dlga_ovkun_response_games:ovkun_response_2|Stop playing games! He is dead, I can see right through you, coward!
dlga_ovkun_response_died:ovkun_response_2|And why did you not die with him, like a true kinsman?
dlga_ovkun_response_2:close_window|He is dead and couragous, you are living and cowardly. Soon you will be dead and cowardly. Draw your spear if you still have any iron in your blood.
dlga_start:falmann_ready|Ready to leave?
dlga_falmann_ready:close_window|Yes, let me be off.
dlga_falmann_ready:close_window.1|Not quite yet.
dlga_start:falmann_response|Well, I see Kvensson has a spear in his throat. I cannot blame you for his death, as he challenged you. However, you are one of two survivors to Torsson's raid. Tell me what happened.
dlga_falmann_response:falmann_disgust|Well, a Valahir Aethling attacked us you see... [admit cowardice]
dlga_falmann_response:falmann_bullshit|Well, he asked Hyk and I to scout ahead you see, and he wasn't there upon our return... [deny cowardice]
dlga_falmann_disgust:falmann_disgust_2|You disgust me.
dlga_falmann_disgust_2:falmann_disgust_3|You do not deserve the very clothes on your back, wrought by better hands than yours.
dlga_falmann_disgust_3:falmann_avenge|*spits* But I will give you another chance. Do not act such a coward again, or you will find me less lenient.
dlga_falmann_bullshit:falmann_avenge|You say you found a bit of cloth with Aethling Svafar's sigil on it when looking at your camp? I have no doubt that it is his doing.
dlga_falmann_avenge:falmann_avenge_2|You must avenge Torsson's death, as the survivor and friend to him. Talk to me when you are ready to sail back to Perisno. I know you may not have the capacity to beat him now, but you have all the time in the world. Svafar's death is your mission.
dlga_falmann_avenge_2:close_window|Thank you for giving me this chance to prove myself. I will not fail in this.
dlga_start:north_merchant_talk|Good day, I am a merchant from south, looking to sell a few of my wares. What can I do for you?
dlga_north_merchant_talk:north_trade_requested|I want to trade. Show me your wares.
dlga_north_trade_requested:north_merchant_trade|Ah, yes. Take a look.
dlga_north_merchant_trade:north_merchant_talk|Anything else?
dlga_north_merchant_talk:north_merchant_gossip|Tell me. What are people talking about these days?
dlga_north_merchant_gossip:north_merchant_talk|Well, nothing new lately. Prices, weather, the wars; the same old things. I know little of what men are talking of here on Hylr, I am simply a merchant trying to find my way to as many remote places as possible to sell my wares and hopefully, find some interesting stories. You could say I'm a bit of an adventurer myself!
dlga_north_merchant_talk:close_window|Good-bye.
dlga_start:close_window.5|I have no words for you, coward.
dlga_start:drunk_response|What are you looking at?
dlga_start:drunk_response.1|Are you looking at me?
dlga_player_duel_response:close_window|Such a waste...
dlga_player_duel_response:close_window.1|Better him than me
dlga_drunk_response:drunk_fight_start|I'm not sure... Some sort of animal, clearly
dlga_drunk_response:dplmc_drunk_attempt_placate|Excuse me -- please accept my apologies
dlga_dplmc_drunk_attempt_placate:close_window|I'll let it slide... this time.  Now buzz off.
dlga_dplmc_drunk_attempt_placate:close_window.1|I'll wipe that smirk right off your face!
dlga_drunk_fight_start:close_window|I'll wipe that smirk right off your face!
dlga_drunk_response:drunk_player_high_renown|Do you have any idea who I am?
dlga_drunk_player_high_renown:drunk_fight_start|Do I care?
dlga_drunk_player_high_renown:drunk_fight_start.1|Big talk from a little runt.  I'll put you in your place!
dlga_drunk_player_high_renown:drunk_player_high_renown|Emmm... Actually... Yes, yes, I do know who you are, {s0}. Please forgive me, your grace -- it must be the drink. I'll be leaving, now...
dlga_drunk_player_high_renown:drunk_fight_start.2|Why, if you want a fight, you shall have one!
dlga_drunk_player_high_renown:close_window|I thought as much. Now, remove yourself from here
dlga_start:fistfight_response|You look like a {reg33?dame:fellow} who can take a few hard knocks -- and deal them out, too. I have a business proposition for you.
dlga_fistfight_response:fistfight_response_2|How's that?
dlga_fistfight_response_2:fistfight_response_2a|Good -- I'm glad you're interested. Here's the plan... It's a little complicated, so listen well. 
dlga_fistfight_response_2a:fistfight_response_3|You and this other fellow will start up a fight here. No weapons, no armor -- I'll sit back and take bets, and split the profits with the winner. If we make a loss, then I'll cover it. You've got nothing to lose -- except a bit of blood, of course.
dlga_fistfight_response_3:fistfight_response_4|However, we can't organize this like one of those nice arena bouts, where everyone places their bets beforehand. People will walk in, drawn by the noise, and put a aurum or two on whichever one of your two they think is winning. I'll give 'em even odds -- anything else is going to be too tricky for someone who's already on his third flagon of ale.
dlga_fistfight_response_4:fistfight_response_4a|So, as you can see, the trick is to stretch things out for as long as possible where it looks like you're losing, and people bet against you -- and then come back fast, and win, before the betting can turn. The best way to make money is for you to be battered almost to the floor, and then jump back off your feet and take the other guy down. However, you have to win in the end in order for me, and you, to make money. 
dlga_fistfight_response_4a:fistfight_response_5|Also, you can't stretch the fight out too long, or people will suspect a fix. So, one of you has to take a punch every so often. I don't care whose blood is spilled, but there has to be some blood.
dlga_fistfight_response_5:fistfight_response_5a|And one other thing -- my mate, your opponent, he doesn't take to well to complexity. So he's just going to come straight at you. It's up to you to supply the artistry.
dlga_fistfight_response_5a:fistfight_response_confirm|So, what do you think?
dlga_fistfight_response_confirm:close_window|  {!}[Yes -- not yet implemented]
dlga_fistfight_response_confirm:close_window.1|I have better things to do
dlga_start:ramun_introduce_1|Good day to you, {reg33?lassie:young man}.
dlga_ramun_introduce_1:ramun_introduce_2|Forgive me, you look like a trader, but I see none of your merchandise.
dlga_ramun_introduce_1:close_window|Never mind.
dlga_ramun_introduce_2:ramun_introduce_3|A trader? Oh, aye, I certainly am that.My merchandise is a bit different from most, however. It has to be fed and watered twice a day and tries to run away if I turn my back.
dlga_ramun_introduce_3:ramun_introduce_4|Livestock?
dlga_ramun_introduce_4:ramun_introduce_5|Close enough. I like to call myself the man who keeps every boat on this ocean moving.Boats are driven by oars, you see, and oars need men to pull them or they stop. That's where I come in.
dlga_ramun_introduce_5:ramun_introduce_6|Galley slaves.
dlga_ramun_introduce_6:ramun_introduce_7|Now you're catching on! A trading port like this couldn't survive without them.The ships lose a few hands on every voyage, so there's always a high demand. The captains come to me and they pay well.
dlga_ramun_introduce_7:ramun_introduce_8|Where do the slaves come from?
dlga_ramun_introduce_8:ramun_introduce_9|Mostly I deal in convicted criminals bought from the authorities.Others are prisoners of war from various nations, brought to me because I offer the best prices.However, on occasion I'll buy from privateers and other . . . 'individuals'. You can't be picky about your suppliers in this line of work.You wouldn't happen to have any prisoners with you, would you?
dlga_ramun_introduce_9:ramun_introduce_10|Me? 
dlga_ramun_introduce_10:ramun_introduce_11|Why not? If you intend to set foot outside this town,you're going to cross swords with someone sooner or later. And, God willing, you'll come out on top.Why not make some extra money off the whole thing? Take them alive, bring them back to me, and I'll pay you fifty aurums for each head.Don't much care who they are or where they come from.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. I'll think about it.
dlga_ramun_introduce_12:close_window|Do think about it!There's a lot of silver to be made, no mistake. More than enough for the both of us.
dlga_start:ramun_talk|Hello, {playername}.
dlga_ramun_pre_talk:ramun_talk|Anything else?
dlga_ramun_talk:ramun_sell_prisoners|I've brought you some prisoners, Ramun. Would you like a look?
dlga_ramun_talk:ramun_sell_prisoners_all|I want to sell all the prisoners I have with me.
dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_all_2|I'll take your {reg1} {reg2?prisoners:prisoner} off your hands for {reg0} aurums. Do we have a deal?
dlga_ramun_sell_prisoners_all_2:ramun_sell_prisoners_2|We have a deal.
dlga_ramun_sell_prisoners_all_2:ramun_pre_talk|Let me think about it again.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Let me see what you have...
dlga_ramun_sell_prisoners_2:close_window|A pleasure doing business with you.
dlga_ramun_talk:ramun_ask_about_capturing|How do I take somebody as prisoner?
dlga_ramun_talk:ramun_ask_about_capturing.1|Can you tell me again about capturing prisoners?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|You're new to this, aren't you? Let me explain it in simple terms.The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club,rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see?I'm assuming you have a blunt weapon with you . . .
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Of course.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|As a matter of fact, I don't.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Good. Then all you need to do is beat the bugger down with your weapon, and when the fighting's over you clap him in irons.It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use,but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp. I don't have many requirements in my merchandise,but I do insist they be breathing when I buy them.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|No? Heh, well, this must be your lucky day. I've got an old club lying around that I was going to throw away.It a bit battered, but still good enough bash someone until he stops moving.Here, have it.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Thanks, Ramun. Perhaps I may try my hand at it.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Alright, I'll try and expain it again in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club,rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see?It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use,but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Alright, I think I understand. Anything else?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Well, it's not as simple as all that. Blunt weapons don't do as much damage as sharp ones, so they won't bring your enemies down as quickly.And trust me, given the chance, most of the scum you run across would just as soon kill you as look at you, so don't expect any courtesy when you pull out a club instead of a sword.Moreover, having to drag prisoners to and fro will slow down your party, which is why some people simply set their prisoners free after the fighting's done.It's madness. How could anyone turn down all that silver, eh?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Is that everything?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Just one final thing. Managing prisoners safely is not an easy thing to do, you could call it a skill in itself.If you want to capture a lot of prisoners, you should try and learn the tricks of it yourself,or you won't be able to hang on to a single man you catch.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Thanks, I'll keep it in mind.
dlga_ramun_talk:ramun_leave|I'd better be going.
dlga_ramun_leave:close_window|Remember, any prisoners you've got, bring them to me. I'll pay you good silver for every one.
dlga_ramun_talk:ramun_quest|Do you have any tasks for me?
dlga_ramun_quest:ramun_quest1|Why, of course! Business lately has been absolutely terrible! It seems like people like to kill other people more than to take them prisoner! It is absolutely horrible. Why kill someone with a sword when you can knock them out with blunt weapons and sell them as nice slaves?
dlga_ramun_quest1:ramun_quest2|Why, indeed!
dlga_ramun_quest2:ramun_quest3|Since business is so terrible right now, I am hoping you can capture some prisoners for me. Any prisoner is fine. I will reward you well.
dlga_ramun_quest3:ramun_quest4|Alright! I'll do it. 
dlga_ramun_quest3:close_window|No thanks. Maybe another time, Ramun.
dlga_ramun_quest4:close_window|Excellent! Remember, you need 15 prisoners of any kind.
dlga_ramun_talk:ramun_reward|I have the prisoners!
dlga_ramun_reward:close_window|Excellent! Here is the reward I promised you.
dlga_start:close_window.8|I humbly request that your {reg33?lady:lord}ship keeps {reg33?her:his} hands where I can see them.
dlga_start:intel_adviser_talk|You should never see this. If you do, PM 'Something Unusual' on Taleworlds forum.
dlga_intel_adviser_talk:intel_adviser_1|What do you wish to know, {reg33?my Lady:Sire}?
dlga_intel_adviser_1:intel_adviser_fiefless_setup|What do you know of the lords of the other kingdoms?
dlga_intel_adviser_1:intel_adviser_monarchs_1|Where are the monarchs of the other kingdoms, currently?
dlga_intel_adviser_1:intel_adviser_siege|Where would you recommend I send my armies next?
dlga_intel_adviser_1:intel_adviser_target|I want to target an enemy lord.
dlga_intel_adviser_1:intel_adviser_end|Never mind.
dlga_intel_adviser_end:close_window|I will be available when needed, {reg33?my Lady:Sire}.
dlga_intel_adviser_fiefless_setup:intel_adviser_fiefless|.
dlga_intel_adviser_fiefless:intel_adviser_fiefless_setup|My men tell me that the following lords could be turned...^{s4}
dlga_intel_adviser_fiefless:intel_adviser_fiefless_reply|My men tell me that the following lords could be turned...^{s4}
dlga_intel_adviser_fiefless_reply:intel_adviser_talk|Thank you, you have been most helpful.
dlga_intel_adviser_monarchs_1:intel_adviser_monarchs_2|{s1}
dlga_intel_adviser_monarchs_2:intel_adviser_monarchs_3|{s1}
dlga_intel_adviser_monarchs_3:intel_adviser_monarchs_4|{s1}
dlga_intel_adviser_monarchs_4:intel_adviser_monarchs_5|{s1}
dlga_intel_adviser_monarchs_5:intel_adviser_monarchs_6|{s1}
dlga_intel_adviser_monarchs_6:intel_adviser_fiefless_reply|{s1}
dlga_intel_adviser_siege:intel_adviser_siege_reply|{s1}
dlga_intel_adviser_siege_reply:intel_adviser_talk|Thank you.
dlga_intel_adviser_target:assassin_intro_0|{reg33?Madam:Sir}, it is not unusual for the great and good of this land to be targeted by assassins and the like - you yourself have had a scare or two. As Spymaster, I am in a position to offer you the same service. ^^ Be aware that this type of action, though covert, could affect your reputation if it is discovered that you have had anything to do with it. Would you like to hear your options?
dlga_assassin_intro_0:assassin_intro_1|Tell me what my options are.
dlga_assassin_intro_0:close_window|I have no enemies I would wish this upon.
dlga_assassin_intro_1:assassin_intro_1_5|Very well, {reg33?Madam:Sir}. You can go about targeting an enemy lord in two ways. ^^ First, you can sponsor an attack on a lord by hiring a mercenary company. There is one in town right now that would prove suitable. This group would hunt down and attack your chosen lord, and they will pursue him to the ends of the earth. For example, if he is defeated by another, they will lie in wait until he regroups and attack again. Note that the lord needs to be in transit between centres before our troops can attack. The ususal fee for this service is in the region of ten thousand aurums.
dlga_assassin_intro_1_5:assassin_intro_2|Second, you can hire assassins to target that lord when he is away from his retinue. These men can be relied upon for their secrecy, though past attempts have shown that there is a high chance that the lord will fight them off. However, attacks which do succeed cause a lot of damage to a lord and his reputation. The target lord needs to own at least one fief, as that makes it easy for the assassins to lie in wait.^^ This service does not come cheap; the assassins usually command a fee of fifteen thousand aurums.
dlga_assassin_intro_2:target_lord_1|I'd like to target an enemy lord and his army.
dlga_assassin_intro_2:assassinate_lord_1|I'd like to order an assassination.
dlga_assassin_intro_2:close_window|I've changed my mind. This skulduggery is not for me.
dlga_target_lord_1:target_lord_2|By the way, it would be very foolish to target a king in this way, as you would lose the goodwill of both the people and the gentry if discovered, so I do not offer you that option.^^ The following lords all hold some enmity towards you. Which one would you like to target?
dlga_target_lord_2:target_lord_3|{s1}
dlga_target_lord_2:close_window|Never mind.
dlga_target_lord_3:close_window|I'm afraid the Kingdom does not have enough money to sponsor an attack.
dlga_target_lord_3:close_window.1|Very well. The Mercenaries are outside, preparing for their journey. My {reg33?lady:lord}, if you decide to follow them, please do so at a discreet distance. It would not do to have your name associated with this attack.
dlga_assassinate_lord_1:assassinate_lord_2|By the way, it would be very foolish to target a king in this way, as you would lose the goodwill of both the people and the gentry if discovered, so I do not offer you that option.^^ The following lords all hold some emnity towards you. Which one would you like to assassinate?
dlga_assassinate_lord_2:assassinate_lord_3|{s1}
dlga_assassinate_lord_2:close_window|Never mind.
dlga_assassinate_lord_3:close_window|I'm afraid the Kingdom does not have enough money to sponsor an attack.
dlga_assassinate_lord_3:close_window.1|Very well. I will pass on your instructions to the right people. Remember, my {reg33?Lady:Lord}, the success of this attack is not guaranteed.^^ Go now, and I will send you word as to our success or failure.
dlga_start:highmarshal_pretalk|My {reg33?Queen:King}, I am your humble servant in charge of war in this kingdom. I wish to make myself of use. If you need anything war related, just consult me and I will help you in any way possible.
dlga_highmarshal_pretalk:close_window|Thank you. I'm sure you will be of much use to me now and in the future.
dlga_start:highmarshal_talk|You have need of me, my {reg33?Queen:King}?
dlga_highmarshal_talk:highmarshal_hire_army|I would like to hire a small Perisnoan army to help keep order.
dlga_highmarshal_talk:highmarshal_hire_foreignmercs|I would like to hire some mercenaries.
dlga_highmarshal_talk:highmarshal_forcegather|I would like to gather the kingdom vassals for a campaign.
dlga_highmarshal_talk:highmarshal_lord_location|I wish to know the location of a lord.
dlga_highmarshal_talk:highmarshal_num_patrols|How many patrols does the kingdom have and what is the limit?
dlga_highmarshal_talk:close_window|Nevermind.
dlga_highmarshal_hire_army:highmarshal_hire_army_ask|Of course. This will cost you 30,000 aurums with no extra cost afterwards. You can only have one army on the field at a time. Would you like to hire one?
dlga_highmarshal_hire_army_ask:highmarshal_hire_army_done|Yes.
dlga_highmarshal_hire_army_ask:close_window|Nevermind. (Not enough money or one is already in the field).
dlga_highmarshal_hire_army_done:close_window|It is done, my {reg33?Lady:Lord}.
dlga_highmarshal_hire_foreignmercs:highmarshal_hire_foreignmercs_1|Are you sure, my {reg33?Queen:King}? This will cost us a lot of aurums. And who would you like to hire?
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4|Mercenary Party ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.1|Jin Mercenaries ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.2|Company of Perisno Pilgrim Warriors ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.3|Company of Nun Warriors ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.4|Nodah's Mercenary Company ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.5|Sidhethon's Mercenary Company ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.6|Remus's Guardsmen Company ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.7|Hakkon Company of the East ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.8|Filibuster Company of Aethlings ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.9|Company of Holy Crusaders ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.10|Marauder Company ({reg8} aurums)
dlga_highmarshal_hire_foreignmercs_1:highmarshal_hire_foreignmercs_4.11|Freelancers' Cavalry Company ({reg8} aurums)
