
ip_dplmc_info|"기능: 외교 모드"
ip_foraging_text|"To sustain and keep large armies happy you will need high morale, and one thing that helps build a high morale is food. Introducing Foraging, where you and your troops live off of the land. Foraging will not provide food items, it simply reduces the food consumed at each meal. This is an Agility based party skill with max level of 10. The skill level (modified by party bonus) sets a hard limit of the maximum number of food unit that can be foraged. For example, even if you can forage 30 food units from the area and you have only 1 level you foraging, you'll get a 5 units reduction to food consumption. The amount foraged has a bonus of x1.5 if camping (standard camp, waiting 24h on siege). The amount of food that can be foraged depends on local resources"
ip_courtship|"기록: 이성 교제"
ip_courtship_text|"Players may wish to marry into one of Perisno's noble families. Marriage is not necessary for a player to rise in power and stature, but it does provide players with an opportunity to improve their relation with lords and establish a claim to the throne.^^Marriage requirements will be different for males and females. A male character will usually need to pursue a traditional path of courtship. He should establish a reputation in Perisnon aristocratic society, get on good terms with his bride's parents or guardians, and then woo the lady according to local custom. If a player grows impatient, he may attempt to take a shortcut -- but there will be consequences in his relations with other lords.^^A male character should keep in mind that other lords will be competing with him for the affections of the kingdom's ladies. Also, a lady's tastes are unpredictable, and a player may also find that the object of his love does not love him in return. Romance, in Perisno as elsewhere, does not always prosper. Of course, a player may resort to other, less gentlemanly means of winning a lady's heart, but again, that will have a serious impact on his reputation.^^To get started on the path of courtship, a male player should try to get involved in the social life of the Perisnon aristocracy, attending feasts and tournaments. Also, wandering troubadours and poets can serve as a useful repository of information on courtship, and keep the player up to date about the latest gossip.^^Female characters can also marry -- but they should keep in mind that Perisnon society is very traditional, and, as adventurers, they have chosen a very unconventional path for a woman. A female character may have to look for a while to find a lord who is open-minded enough to marry her.^^On the bright side, a female character does not have to go through the elaborate rituals of courtship, and she also may gain more from a marriage than her male counterpart. For a woman adventurer, marriage can be a quick path to power -- and an unscrupulous character may be able to use her husband as a tool of her political ambitions."
ip_politics|"기록: 정치"
ip_politics_text|"The realms of Perisno, although they represent different cultures, all adhere to the same basic political system: feudalism. Feudalism is based on the relationships between individuals: the oaths of loyalty given by a vassal to his or her liege. In exchange for this oath, the vassal will usually receive a fief, a parcel of land whose income will be used by the vassal to raise troops to support the liege in time of war. A liege also has an obligation to protect his vassals, and to treat them justly.^^This is how it works in theory, anyway. In practice, vassals will not always work in their factions' interests, particular as they are often quarreling with one another. Nobles have different personalities, and sometimes those personalities clash. Or, perhaps two nobles were once friends, but fell out over in the aftermath of a setback or a defeat -- or because they both were wooing the same lady. Jealousies will also surface as they vie for the favor of the king -- perhaps over newly conquered lands, or over who will be given the coveted office of marshal, the lord in charge of organizing large-scale campaigns.^^When one realm in Perisno makes war on another, the political unity of the each kingdom is as important as the quality or number of its soldiers in determining the outcome. In a cohesive kingdom, nobles will join together in a large force to sweep their opponents before them. In a kingdom divided by petty quarrels, lords will fail to respond to the marshal's summons, or drift away to attend to their own business if a campaign is not going well. A faction's political cohesion will also impact warfare when campaigns are not in progress. In a divided faction, lords will be less likely to join together on raids and patrols, and come to each other's defense.^^If it seems self-defeating for nobles to bicker and quarrel when the enemy is just over the horizon, keep this in mind -- ultimately, a noble's loyalty goes not to a particular faction or culture, but to himself and to his family. If a noble fears that his faction is collapsing, or if he is being neglected by his liege, he can usually find a reason to withdraw his oath of allegiance, and change sides. Players should keep this in mind, as they may find that there are opportunities to turn discontented former enemies into allies."
ip_fog_of_war|"기능: 전쟁의 안개"
ip_fog_of_war_text|"Fog of War can be toggled between on and off (You won't be able to toggle it once you have started the game, unless you access the cheat menu). Fog of War is exactly what it suggests. You simply travel around the world to uncover new areas on the world map. It is recommended to enable this feature as Perisno has a unique feature where you can buy maps to reveal the lands, and thus giving the player a better playthrough with more surprises."
ip_character_backgrounds|"기록: 캐릭터 배경"
ip_character_backgrounds_text|"A player character in Perisno may choose from a variety of social backgrounds to originate from. This choice will affect not just his or her starting skills and equipment, but also the course of his or her career as an adventurer.^^War and politics in Perisno are traditionally dominated by male aristocrats. A nobleman player character may find that he is invited into this 'old boys' club' fairly quickly, but women and commoners may face a few extra hurdles on the way. If you choose to start the game as a male nobleman, you can think of it as the 'easy' setting. Starting as a noblewoman or a male commoner is somewhat more difficult, and starting as a female commoner is probably the most challenging way to begin a game.^^However, women have some starting advantages. Simply by taking up arms, a female warrior will draw attention to herself, and she may find that she can build up her reputation faster than a male. Also, it is traditionally easier for a woman to marry up the social ladder than it is for a man, and a woman may find she can gain more from a strategic marital alliance than her male counterpart.^^Finally, keep in mind that the game does not place any limits on the upward mobility of characters based on their background. Noble or common, male or female, married or unmarried -- anyone can rise to become ruler of all Perisno, if they are sufficiently brave, lucky, or resourceful."
ip_military_campaigns|"기록: 군대의 원정"
ip_military_campaigns_text|"When kingdoms in Perisno go to war, their armies have two basic offensive options. They can try to attack villages and lay waste to the countryside, damaging their enemy's prestige and economy. Or, they can try to seize and hold castles or towns, taking territory This second option can involve long, bloody sieges, but will yield more decisive results.^^It is important to note that the realms of Perisno do not field standing armies, which remain in the field as long as the ruler desires. Rather, Perisnon realms are protected by feudal levies comprised of the major nobles and their individual retinues.  Sometimes, these nobles launch their own private attacks into enemy territory, but the most decisive events will usually take place when the great hosts are assembled. The kingdom's marshal, a noble appointed by the king, will summon the host before the campaign and lead them out to battle. However, he should be careful not to keep them in the field too long. Otherwise, the host will begin to disintegrate, as the vassals drift off to pursue their own business, and the army will be vulnerable to a counter-attack.^^For this reason, the rhythm of wars in Perisno often resemble the rhythm of a duel between two individual combatants. One side will gather its strength and seek to land a blow against the enemy's territory. If the marshal spends too little time gathering the vassals, he may not be able to do any real damage. If he spends too much time, then the campaign may end before it has even begun. A large realm will have an advantage over a smaller one, just as a brawny combatant has an edge over a smaller foe, but a realm's political cohesion can also be a factor, just as a fighter with great stamina can outlast her opponent. Sometimes, the armies of two realms will meet head on, resulting in a major battle in which both numbers and morale will decide the outcome.^^Kingdoms will have imperfect intelligence about their enemies. Attacking lords will need to frequently scout enemy territory to determine which fortresses may be vulnerable. An army defending its homeland will benefit from the alarms raised by castles and towns, which broadcast intelligence about enemy movements in the area. Such intelligence will be imprecise, however, particularly when it comes to numbers. A defending force which sets out to raise a siege or rescue a village may be able to overwhelm an unprepared attacker -- or it may miscalculate, and find that it is the one to be overwhelmed. Attackers, in turn, must be careful how far they advance into enemy territory, with aggressive marshals venturing further than cautious ones.^^Players will be expected to join in their faction's military campaign, either by joining the host, or by scouting ahead into enemy territory. Some players may find that their realm's marshal is too cautious, or too aggressive, for their tastes. In this case, they can intrigue with other lords to try to replace the marshal, or build support to become the marshal themselves.^^Most wars are of limited duration. A king who goes to war will, for the sake of honor, feel obligated to pursue the conflict for a short while. However, unless he is soundly beating his enemy. he may soon start looking for a way out of the conflict, lest he leave himself vulnerable to an attack by a third party. Perisno's rulers are keenly aware that today's ally may be tomorrow's enemy, and vice versa."
ip_tolranianlore|"지식: 톨라니아 왕국"
ip_tolranianlore_text|"The Tolranians escaped from the tyranny of the Old Hakkon Empire years ago. They remained haunted by their experiences in Hakkon, but the leaders are determined to start a new life in Perisno.^^From the journal of Captain Otto Waveshore:^^Day 1:^^We have fled from Hakkon, deciding that enough is enough. We will start a new life somewhere else, in a place far from Hakkon. Far enough for them to never be able to find us. We have begun to set sail, a motley bunch of men leaving on stolen ships, given to us by our good friend Admiral Themistocles. He will be punished for what he has done, but he knew the risks, as we all did. As I look upon the endless sea, I fear that most of us will not live to see the mainland.^^Day Unknown: ^^I have lost track of how many days we have been at sea. It feels like forever since Day 1. Half of our ships have sunk, either to marauding  pirates or to large sea monsters or to large storms in the ocean. Every day, our crew pray to Priapus, our God of Sailers.^^Day Unknown:^^It is unbelievable. We have caught sight of the mainland at last! Our men are settling down in this new, lush land, which we name the land of Perisno. We have not met any natives and no sign of life is seen at all! I worry that our generations will not live on. My health is failing, and I think this will be my last entry. - Captain Otto Waveshore^^Tolrania was founded in the year 323. They are a Republic, vowing that they would be different from the Hakkon Empire. They prospered for seven years in this new land, free of the tyranny of Hakkon and King Comrey. They made trade with the Maccavians and thrived. The population quadrupled in those years, and soon Tolrania expanded. In year 330, something unexpected happened: the Hakkons followed the into Perisno.^^At first, there was shock from the Tolranians, then there was anger. The, there was despair as the Tolranians found out how big the Hakkon fleet was.^^Apparently, these were knights and nobles also dissatisfied with King Comrey, and had set out to a new world. Almost every Tolranian there were second generation, and few of the first generation were still alive. However, their fathers told them of the horrors in Hakkon.^^They decided to turn to the local Elintoran Elves for help. The Elven Archers were a mercenary company, and they were hired by Tolrania to do battle against Hakkon. In a famous battle, the Tolranians routed the Hakkon army.^^Hakkon was not defeated, but they needed time to rebuild their armies. The people of Tolrania rejoiced after this, and they continued to thrive.^^Near the woods of Tolrania, an outlaw group began to form. The outlaws called the Tolranian government corrupt and disorderly. They said that the name 'Republic' itself was hypocritical. The government ruled like a kingdom, and the other factions acknowledged this. Tolrania was given the name of The Kingdom of Tolrania by other factions, and soon it was only the Tolranians who called themselves a Republic.^^The outlaws, led by an enigmatic man named Nibor Hood, became a large organization that were constantly a thorn to the Tolranian's side.^^Tolrania is ruled by a King, after abandoning the idea of a republic. They have a strong military, and their Kingsmen are the envy of the world. Their military is diverse, with horse archers, foot archers, and infantry. Most of their military are peasants recruited from villages. They rely on their top tier noble troops for heavy cavalry. Outlaws roam the forests of Tolrania, and their lords are usually too lazy to stop them.  It is up to you to either unite Tolrania or to destroy it."
ip_drachenlore|"지식: 용의 제국"
ip_drachenlore_text|"The Reich Des Drachen came from a land far away from Perisno. It is said that real dragons lived in their homeland, or used to. Their homeland was called the Isle of the Dragon, and reportedly it was a vast continent, where many strange and exotic creatures lived. The Reich are a very mysterious group, and almost nothing at all other than where they came from is known about them. They arrived at Perisno in the year 363, and it was clear that their intentions was not to trade, but to conquer. They brought a huge armada with them, deploying thousands of soldiers into Perisnoan soil. They quickly colonized some native cities and changed them into large, industrial metropolises. They also built fortresses and fortifications of tremendous size in what was soon 'their territory' and soldiers patrolled the borders regularly. All the other factions were wary of this new threat, and were afraid to act. They had heard reports from their spies that real dragons accompanied the Reich, although this fact is still disputed, for the Reich have yet to reveal them. The Dragon Priests of the Reich spread across Perisno, preaching their faith to all. It is said that the leader of the Dragon Priests wants to be king, although he needs more men to help him.^^The Reich have a strong military, composed of infantry, spearmen, and heavy cavalry. It is rumored that their noble troops ride real dragons. They are a disciplined force that will not run, under any circumstances. The government is a monarchy, and their mysterious emperor rules through divine right. He says that the dragon gods have proclaimed him king, and it is his right to rule the world under the gods. His right hand men is the mysterious High Priest of the Dragon. It is rumored that the High Priest is plotting to overthrow the emperor who he thinks is unworthy. He is looking for a capable mercenary or adventurer to help him."
ip_draharalore|"지식: 드라하라"
ip_draharalore_text|"The Draharans have always been in Perisno, and are a loosely united confederation of desert tribes. They have never really cared about the western world, which they call the 'Ghareeb.' They are a reclusive nation, mostly staying in their deserts, never daring to venture more than a few miles into the lands without desert. They are a hardy people, being able to live in that harshest environments. Most tribes are nomadic, but some of the bigger tribes have settled in cities near water and other resources. The Draharans are also religious, believing in spirits and gods. Throughout the Draharan desert, ancient shrines and majestic temples can be found dedicated to their gods. Drahara is a term used for an entire ethnic group of people, and many tribesmen find it offensive to be called Draharan instead of being called by their respective clan or tribe name. It has been like that for hundreds of years, but around the year 354, everything changed.^^An unnamed man walked into the capital city of the largest Draharan tribe and proclaimed himself a man sent by the gods. He could work wonders and perform miracles, and soon many people followed him. He said that he dreamt of a day where the Draharans ruled Perisno, when all the unworthy Ghareebians of the West bowed under their rule. He was so mesmerizing, and his voice so powerful, that everyone that heard him would believe him and pledge their allegiance to him. Soon, after five years, all the Draharan tribes had united under this man, and their armies were ready to march. First, he immediately used the military to wipe out every single bandit party in the desert that they could find. Every desert rat and vulture that robbed other men were found and executed under this man's order. Drahara soon became free of such men, but it is rumored they are still hiding in reclusive corners, waiting for revenge. This unnamed man continued to assert his dominance, and trained an elite guard of camel riders for himself. He had the tribe of elephant riders pledge their allegiance to him as well, and even the infamous Desert Assassins. By the year 365, the Draharans were ready to march for war.^^Under their new mysterious ruler, Drahara became a confederation. Every lord had his personal army but all fought for one cause: the conquest of the west. However, there were a few people that doubted this mysterious new man, and openly proclaimed it. The strongest man against this new ruler was named Baibars. He voiced his protests against this new ruler of Drahara, saying that he had no right to rule. He was cast out and shunned, but remains alive, waiting for someone to help him. He now goes from kingdom to kingdom, trying to find support.^^The Draharan military is simple: they have archers, spearmen, and cavalry. However, due of the hotness of the desert, they do not wear very heavy armor. The Draharans have a simple military all around, but many of their lords have household troops that belong to their own tribe."
ip_maccavialore|"지식: 믹카비아"
ip_maccavialore_text|"Maccavia is a free cosmopolitan realm, governed by a  Monarch and a Senate of Nobles and free man. Maccavia is a faction of nobles, knights, religious people, diplomats and rich merchants, Maccavia was once a kingdom of northmen, sailors, pirates, but at a turn of fate, they settled in the winterlands, and they conquered and they have prospered for many years. Every men were the lord of their destiny, free to rule their life as they would like, as long they the paid taxes, lived orderly and obeyed the laws of the republic, and worked towards progress. ^^Maccavia is split religiously; The New Gods value; chivalry, love, duty, benevolence, family, order, grace and kindess.The Old Gods value; war, honor, strength, ambition, domination,  secrets and plots.^^Many of the Maccavian Republic Nobles are followers of the faiths and Gods, many of the Old Gods are warmongering nobles, bent on raiding, conquering and fighting and demanding strenght from their allies, loyal they are loyal hounds of the Maccavian Republic Dictator, and on the otherside are the Noble Knights, followers of the new faith and Gods, they prefer to prosper and grow rich, showing kindness and grace, most nobles have it a strong disregard for followers of a different faith, specially the Maccavian Nobles that follow that Old Gods, they see them as savages in opulent clothing, while the nobles of the old Gods see the Nobles of the new Gods as 'just weaklings', and that brawl has been destroying the Republic, both evil and good mixed in a common goal.^^The Maccavian Army is yet one of best armored and armed in Perisno, with curious concraptions, heavy weapon training, every citizen of the Maccavian republic is taught how to use weapons, how to ride a horse, how to read, how to create tactics, their martial training is yet without equal, many of the Maccavian Soldiers are followers of the Old Gods, but not many of them rise through military ranks, because most of them die in battle, while followers of the New Gods seem to rise quickly but not as strong as a Old Gods Follower.^^Maccavian Army is split in division of specialties, those who show a promising skill in a certain field of technique goes to that respective division, those who show aptitude and perception, go to the Crossbow Division, while those who show strength go to the Sword Division or the Spear Division and the Knight Division. And all Maccavian military are trained in the use of Heavy armor.^^Marskmen of the Crossbow Division; Maccavian Crossbowman knows how to throw an axe and are very skilled at range, they have the iconic axe-crossbow (Normal variant), that not only shoots bolts with absurd accurancy, pierces through heavy armor like butter, yet it works a heavy melee weapon that can be used to break shields, heads or horses. With enough training and skill, but are weak when facing close-combat encounters, they can survive a melee fight, but their specialty is ranged combat.^^Maccavian Crossbowman can become TOP TIER: Maccavian Marksmen which is yet the best trained crossbows in Perisno, they carry the axe-crossbow (siege variant) and thrownable axes, and they have a better armor, thus making them better at melee.Swordsmen of the Sword Division; Maccavian Swordsman are skilled dagger throwers and great at close-combat, they can slice through any unarmored enemies with ease, they have a round shield for quick movements in battle and their Longsword, but are terrible weak when combating horsemen, but you're better not fall of the horse.^^Maccavian Swordsmen with enough training and skill can become TOP TIER: Maccavian Swordsmasters who carry a terrible greatword that can slice elephant, camels and people, yet they carry their longswords and throwable daggers for range/close combat.Spearmen of Spear Division: Maccavian Spearmen are exeptional at throwing spears and tactically adaptable, nor horse or camel can charge through the Maccavian Phalanx, ranged enemy infantry is killed easily as well infantry, they carry a pike, a shortsword and throwable spears, no shields, for quicky positioning and defence, but that makes them heavily at disvantage when fighting long-ranged enemies and if they do not brace their spears for combat mounted infantry, they're a easily pickings, but do not understimate them, they can still throw spears and use their shortswords.^^Maccavian Spearmen can become TOP-TIER Maccavian Halberdier, that carries a Halberdier that can kill anything that is mounted easily, they still carry thrownable spears, and the shortsword, they have a much better armor that can protect them from ranged attacks.^^All Maccavian TOP TIER units use heraldic heavy plate armors, while the normal tier uses non-heraldic heavy plate armor.And last, there is the Knights of the Maccavian Republic, mini-nobles, with lands and titles.^^Maccavian Squires are sons of nobles, they are trained since childhood in all division martial arts, they are very educated and devout followers of the Faiths and Gods. And so the result are very expensive units, with very good training they can become Maccavian Knights..^^Maccavian Squires of the Old Gods can become Maccavian Black Knights, while Maccavian Squires of the New Gods can become Maccavian Knights of Steel.Knights of steel are very valorous and powerful units, they use Greatswords as backup, longsword, shield and a Lance, a Maccavian bred armored white stallion as mount. Steel Heavy Plate Armor.Black Knights are very strong and powerful units, not only they use a Greataxe as backup but they carry the Axe-crossbow (Normal variant), and a Longsword, a Maccavian bred armored Black Stallion as mount.^^Now we go to Politics in the Maccavian Republic: King Agathor Krex is the dictator of Republic, while he desires to have full control of the Republic backed by his loyal hound followers of the old Gods, the new Gods followers seem to dislike him and try to sabote every attempt he makes, but none openly challenge his rule, but most would certainly follow a New God claimant."
ip_elintoranlore|"지식: 엘린터"
ip_elintoranlore_text|"The Elintoran Elves have resided in Perisno for a long time. They are a very mysterious faction and not much is known about them. The closest associations Perisnoans have had with them are the Tolranians, who fought along with the Elintoran Elves to defeat a massive Hakkon army that invaded around the year 332. In a notorious battle, called the Battle of Halfith, Tolrania and Elinotor combined forces to defeat Hakkon. In that battle, the Tolranians realized exactly how strong the Elven archers were. It was only because of the archers that they managed to defeat the Hakkon army. The archers fired volley after volley at the Hakkon Legionnaires, and when they tried to send in the lancers, they were outfought by the Tolranian horse archers. After routing the Hakkon, the Elintorans went back into a reclusive nation and eventually broke off good relations with the Tolranians. Forty years later they are fighting a bitter war against each other for unclear reasons.^^Currently, the Elintoran Nation is ruled by Queen Arwen. It is not strange for women to have high positions of power in the Elven hierarchy, and some of the most notorious Elintoran rulers were in fact Queens. However, times are changing in the Elintoran Nation, and some people, including the claimant, believe that men should rule.^^The Geldarin Elves are a rebellion of the Elintorans that inhabit a small peninsula below the capital, Forniron. They are a strange group, and no one knows the exact reason of their division. Some say it was because of a civil war while others say it was because of the Geldarins being a completely different species of Elves who felt they were the minority. Whatever the cause is, the two factions detest each other and to this day, Geldarin patrols continue to plague the Elintoran elves near Forniron. It is rumored that the Queen hates the Geldarins especially, and one day plan to rid of them once and for all."
ip_hakkonlore|"지식: 하콘 제국"
ip_hakkonlore_text|"The people of Hakkon originated from an island far from Perisno. In the year -542BE (Before the Enlightment), tribesmen and sailors rowed from their mainland to the island of Hakkon. From then, the road began to pave for a mighty empire, the Hakkon Empire. In a few centuries, the Hakkons rose from a small island nation to a superpower in their world. They revolutionized sailing technology, and rumor had it that their navy was so great and had such survivability that they could sail the entire world and not one would sink. Hakkon quickly dominated other small island tribes around them, and set about colonizing the mainland. Many of their efforts failed, and around the year 315, Hakkon was on the verge of collapse. Pestilence, corruption, and war had taken its toll on the once great Hakkon Empire.^^In the year 322, Emperor Comrey II was crowned Emperor of Hakkon. He was a lazy and indolent man who cared for nothing but food, wine, and women. He was nothing like his father, Emperor Comrey I, who was a great man and helped rebuild much of Hakkon after its economic downfall. Emperor Comrey II held lavish feasts in his palace almost daily, and the only times he didn't hold them were the times he was too drunk to do anything. Throughout the kingdom, the people murmured and voiced their disgust of their new creature of a King. In the year 323,  six months after Comrey II was crowned, the people had had enough. Admiral Themistocles, a powerful and wealthy man, arranged the escape of four ships that would sail into a new land to settle. He himself was a seasoned veteran of many battles, but chose to stay even though his people begged him to go. He vowed he would continue helping the people against their new tyrant. In the year 323, the men were ready to sail, and all of them left with high hopes of a new life in a new world.^^By the year 329, Emperor Comrey II was still on the throne, but he was so fat and lazy by now that his ministers had taken over ruling the kingdom for him until a more suitable heir could be selected. The Hakkon Empire continued to crumble, and many of their nobles were anxious to leave. A large fleet of Hakkon nobles and soldiers left the island and went in the footsteps of the Tolranians in search of a new world. By the year 330, they had arrived in Perisno and immediately began colonizing it. They called themselves the Hakkon Empire, and called the one they had come from the Old Hakkon Empire.^^For many years, the Hakkon Empire grew in size and prosperity. They frequently fought with the Tolranians, and even though they lost many battles, they were powerful and could rebuild quickly and efficiently.^^The Hakkon Empire is a monarchy, and their current king is King Hakkon II 'The Great,' named after the Hakkons of old. They are an efficient government, having access to many trade routes and natural resources.  Their military is solid all around, and fields a variety of units. They have heavy cavalry, heavy infantry, spearmen, and crossbowmen.^^In the year 350, trouble emerged after the death of King Hakkon IV. He left no successor, and now Hakkon nobles were fighting each other in a heated civil war. The rest of the world only watched the conflict, no one making a move to interfere. The two sides were the Hammeriron family and the Hakkon family. Ultimately, the Hakkon family won after many bloody battles, and King Hakkon III was crowned. However, the Hammeriron leader, Mjolnir, is still alive and looking for revenge. Trouble once again came to the Hakkons in the year 355. New raiders, called the Volheere raiders, migrated to Perisno near Hakkon lands and began to loot and kill anyone in their way. By the year 362, they became a very large threat. The Hakkons still have not managed to deal with them yet."
ip_valahirlore|"지식: 발라히르 부족"
ip_valahirlore_text|"The Valahir Clan is a dominant clan from Nisaynia. The Volheere Raiders are only an offshoot of their clan and even though the Volheeres left the island because of harsh weather and no food, the Valahir clan still rules and lives by demanding tribute from their conquered tribes. The Valahir Clan is now eyeing Perisno as well, because of its resources and new places to settle, but many are reluctant to go. The Valahir Clan is ruled by Clan Leader Ingveld, and his subjects all have the title of Aethling. The troop tree is all infantry and archers but they are very heavy infantry and all of them can match the Maccavian Northguards. Should the Valahir clan under Ingveld rally his army together, the Maccavians and possibly the whole of Perisno, will be at risk..."
ip_falconlore|"지식: 팔콘 렐름"
