
str_id|"dst_lang1"
p_village_140|"아텍스"
p_village_141|"볼린크"
p_village_142|"바누크"
p_village_190|"투란"
p_village_191|"아닷"
p_village_192|"케서"
p_salt_mine|"양봉장"
p_four_ways_inn|"사거리 여관"
p_test_scene|"테스트 장면"
p_battlefields|"전장"
p_dhorak_keep|"도락 요새"
p_training_ground|"훈련장"
p_training_ground_1|"연습장"
p_training_ground_2|"연습장"
p_training_ground_3|"연습장"
p_training_ground_4|"연습장"
p_training_ground_5|"연습장"
p_steppe_bandit_spawn_point|"대초원"
p_steppe_bandit_spawn_point_1|"대초원"
p_taiga_bandit_spawn_point|"동토"
p_taiga_bandit_spawn_point_1|"동토"
p_taiga_bandit_spawn_point_2|"동토"
p_forest_bandit_spawn_point|"숲"
p_forest_bandit_spawn_point_1|"숲"
p_mountain_bandit_spawn_point|"고지대"
p_sea_raider_spawn_point_1|"해안"
p_sea_raider_spawn_point_2|"해안"
p_desert_bandit_spawn_point|"사막"
p_rafklazan_sp|"라프클라잔의 침략자들"
p_nibor_sp|"니보르의 도적들"
p_foreigners_sp|"외국인 sp"
p_assassin_sp|"암살자 sp"
p_falki_sp|"팔키 sp"
p_amazons_sp|"아마존의 숲"
p_eagle_sp|"독수리 sp"
p_eagle1_sp|"독수리1 sp"
p_eagle2_sp|"독수리2 sp"
p_demon_sp|"악마 sp"
p_demon1_sp|"악마1 sp"
p_demon2_sp|"악마2 sp"
p_demonarmy_sp|"악마 군대 sp"
p_eaglearmy_sp|"독수리 군대 sp"
p_onishi_sp|"신풍 전사들"
p_yachamoci_sp|"신풍 전사들"
p_imperial_scout_sp|"제국 정찰병 sp"
p_lymbard_sp|"림버드"
p_desouk_sp|"데소크 노예들"
p_wolf_sp|"늑대 기사단"
p_wolfarmy_sp|"늑대 기사단 전쟁 부대"
p_geldar_sp|"겔다린 엘프들"
p_torlan_sp|"톨라니아"
p_amara_sp|"제국"
p_zengi_sp|"드라하라"
p_culgrah_sp|"믹카비아"
p_faradon_sp|"엘린터"
p_baibars_sp|"하콘"
p_zolona_sp|"졸로나의 도적들"
p_ulfheonar_sp|"볼헤르 광전사들"
p_rivermen_sp|"호수"
p_legionscout_sp|"군단 정찰대"
p_zeladeck_sp|"젤라덱"
p_pioneer_sp|"개척자"
p_pioneer_sp_1|"개척자"
p_aruolo_sp|"아로울리안"
p_aruolo_sp_1|"아로울리안"
p_mosoru_sp_1|"사막"
p_aruolo_backtory_sp|"중간 아무곳"
p_outpost_1|"전초 기지"
p_outpost_2|"전초 기지"
p_fort|"요새"
p_zann_outpost|"잔 전초 기지"
p_castle_merc_guild|"용병 조합"
p_freelancer_outpost|"자유용병 전초 기지"
p_volheere_sp|"볼헤르 sp"
p_third_legion_fort|"제 3 군단 전초 기지"
p_grazir_shrine|"그라지르의 성소"
p_parties_end|"parties end"
