
|"undefined"
str_battle_won|"당신은 전투에서 승리했습니다!"
str_battle_lost|"당신은 전투에서 패배했습니다!"
str_attack_walls_success|"피비린내 나는 싸움 끝에, 당신의 용감한 군인들은 적으로부터 성벽을 뺏었습니다."
str_attack_walls_failure|"당신의 병사들은 성벽을 향해 돌격하였으나 파도에 빠지듯이 사라지고, 살아 남은 일부 병사들은 바로 패배 하여 도망쳐 버리고 더 이상 보이지 않습니다."
str_attack_walls_continue|"치열한 전투는 계속되고 있고, 양쪽은 대등한 용맹으로 전투를 합니다. 당신 군대의 노력에도 불구하고, 성은 적의 손에 있습니다."
str_order_attack_success|"당신의 사람들은 용감하게 싸워 적을 격파했습니다."
str_order_attack_failure|"적군이 당신의 병사들을 줄여나갔고, 기진맥진한 생존자들을 손쉽게 쓰러뜨리며 전투는 절망적으로 보입니다."
str_order_attack_continue|"장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다."
str_join_order_attack_success|"당신의 병력은 동맹군과 함께 잘 싸워 적군을 무찌른 영광을 함께 나누고 있습니다."
str_join_order_attack_failure|"적군이 당신의 병사들을 줄여나가고, 기진맥진한 생존자들을 손쉽게 쓰러뜨리며 전투는 절망적으로 보입니다."
str_join_order_attack_continue|"장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다."
str_siege_defender_order_attack_success|"기술과 용기를 가진 수비병들은 성벽을 확보하고 있으며, 적군의 공격을 막아내고 완벽히 패배 시켰습니다."
str_siege_defender_order_attack_failure|"신속한 공격으로 인해 난전이 되었습니다. 용맹스런 노력에도 불구하고 우수한 수비병들은 성벽을 지킬 수 없었고, 적군은 마지막 수비병에게 칼을 찌릅니다."
str_siege_defender_order_attack_continue|"사방에서 성벽을 얻기 위한 치열한 시도들이 반복해서 실패하고 있습니다. 그러나 아직 승리를 원하는 많은 적군들이 남아있습니다. 공성은 계속 되고 있습니다."
str_hero_taken_prisoner|"{s3}의 {s1}은(는) {s2}에 의해 포로로 붙잡혔습니다."
str_hero_freed|"{s3}의 {s1}은(는) {s2}의 포로 신세에서 해방되었습니다."
str_center_captured|"{s2}은(는) {s3}의 {s1}을(를) 점령하였습니다."
str_troop_relation_increased|"당신과 {s1}의 관계가 {reg1}에서 {reg2}으로 향상되었습니다."
str_troop_relation_detoriated|"당신과 {s1}의 {reg1}에서 {reg2}으로 악화되었습니다."
str_faction_relation_increased|"당신과 {s1}의 관계가 {reg1}에서 {reg2}으로 향상되었습니다."
str_faction_relation_detoriated|"당신과 {s1}의 관계가 {reg1}에서 {reg2}으로 악화되었습니다."
str_party_gained_morale|"당신의 부대가 {reg1}의 사기를 얻었습니다."
str_party_lost_morale|"당신의 부대가 {reg1}의 사기를 잃었습니다."
str_other_party_gained_morale|"{s1}은(는) {reg1}의 사기를 얻었습니다."
str_other_party_lost_morale|"{s1}은(는) {reg1}의 사기를 잃었습니다."
str_qst_follow_spy_noticed_you|"첩자가 당신을 발견했습니다! 그는 당장 도망칩니다!"
str_father|"아버지"
str_husband|"남편"
str_wife|"아내"
str_daughter|"딸"
str_mother|"어머니"
str_son|"아들"
str_brother|"형제"
str_sister|"자매"
str_he|"그"
str_she|"그녀"
str_s3s_s2|"{s3}의 {s2}"
str_s5_is_s51|"{s5}은(는) {s51}."
str_s5_is_the_ruler_of_s51|"{s5}은(는) {s51}의 통치자 입니다. "
str_s5_is_a_nobleman_of_s6|"{s5}은(는) {s6}의 {reg4?귀족 여성:귀족 남성} 입니다 . "
str_relation_mnus_100|"복수심에 불탐"
str_relation_mnus_90|"복수심에 불탐"
str_relation_mnus_80|"복수심에 불탐"
str_relation_mnus_70|"혐오함"
str_relation_mnus_60|"혐오함"
str_relation_mnus_50|"적대적임"
str_relation_mnus_40|"화남"
str_relation_mnus_30|"분개함"
str_relation_mnus_20|"불평함"
str_relation_mnus_10|"의혹을 품음"
str_relation_plus_0|"무관심함"
str_relation_plus_10|"협조적임"
str_relation_plus_20|"환영함"
str_relation_plus_30|"호의적임"
str_relation_plus_40|"지지함"
str_relation_plus_50|"친절함"
str_relation_plus_60|"자애로움"
str_relation_plus_70|"친애함"
str_relation_plus_80|"충실함"
str_relation_plus_90|"헌신적임"
str_relation_mnus_100_ns|"{s60}은(는) 당신에게 복수심을 품습니다."
str_relation_mnus_90_ns|"{s60}은(는) 당신에게 복수심을 품습니다."
str_relation_mnus_80_ns|"{s60}은(는) 당신에게 복수심을 품습니다."
str_relation_mnus_70_ns|"{s60}은(는) 당신을 증오 합니다."
str_relation_mnus_60_ns|"{s60}은(는) 당신을 증오 합니다."
str_relation_mnus_50_ns|"{s60}은(는) 당신을 적대시 합니다."
str_relation_mnus_40_ns|"{s60}은(는) 당신에게 화가난 상태 입니다."
str_relation_mnus_30_ns|"{s60}은(는) 당신에게 분개하고 있습니다."
str_relation_mnus_20_ns|"{s60}은(는) 당신에게 불만스러워 하고 있습니다."
str_relation_mnus_10_ns|"{s60}은(는) 당신을 의심스러워 하고 있습니다."
str_relation_plus_0_ns|"{s60}은(는) 당신에 대해서 무관심 합니다."
str_relation_plus_10_ns|"{s60}은(는) 당신에 대해서 협조적입니다."
str_relation_plus_20_ns|"{s60}은(는) 당신은 환영합니다."
str_relation_plus_30_ns|"{s60}은(는) 당신에게 호의적입니다."
str_relation_plus_40_ns|"{s60}은(는) 당신을 지지합니다."
str_relation_plus_50_ns|"{s60}은(는) 당신에게 우호적입니다."
str_relation_plus_60_ns|"{s60}은(는) 당신에게 자애롭습니다."
str_relation_plus_70_ns|"{s60}은(는) 당신을 좋아합니다."
str_relation_plus_80_ns|"{s60}은(는) 당신에게 충실합니다."
str_relation_plus_90_ns|"{s60}은(는) 당신에게 헌신적입니다."
str_relation_reg1|"관계: {reg1}"
str_center_relation_mnus_100|"대중은 당실을 증오합니다."
str_center_relation_mnus_90|"대중은 당신을 굉장히 싫어합니다."
str_center_relation_mnus_80|"대중은 당신을 맹렬히 싫어합니다."
str_center_relation_mnus_70|"대중은 당신을 싫어합니다."
str_center_relation_mnus_60|"대중은 당신을 미워합니다."
str_center_relation_mnus_50|"대중은 당신에게 극히 적대적입니다."
str_center_relation_mnus_40|"대중은 당신에게 매우 적대적입니다."
str_center_relation_mnus_30|"대중은 당신에게 적대적입니다."
str_center_relation_mnus_20|"대중은 당신에게 반항합니다."
str_center_relation_mnus_10|"대중은 당신을 반대합니다."
str_center_relation_plus_0|"대중은 당신에게 무관심합니다."
str_center_relation_plus_10|"대중은 당신을 받아들입니다."
str_center_relation_plus_20|"대중은 당신에게 협조적입니다."
str_center_relation_plus_30|"대중은 당신을 다소 지지합니다."
str_center_relation_plus_40|"대중은 당신을 지지합니다."
str_center_relation_plus_50|"대중은 당신을 매우 지지합니다."
str_center_relation_plus_60|"대중은 당신에게 충실합니다."
str_center_relation_plus_70|"대중은 당신에게 충성합니다."
str_center_relation_plus_80|"대중은 당신에게 헌신합니다."
str_center_relation_plus_90|"대중은 당신에게 맹렬히 헌신합니다."
str_town_prosperity_0|"{s60} 도시의 빈곤은 견딜 수 없을 지경입니다."
str_town_prosperity_10|"더러운 {s60} 도시는 거의 황폐합니다."
str_town_prosperity_20|"{s60} 도시는 비참하고 황량해보입니다."
str_town_prosperity_30|"{s60} 도시는 가난하며 방치된 것으로 보입니다."
str_town_prosperity_40|"{s60} 도시는 힘겹더라도 나아질 조짐을 보입니다."
str_town_prosperity_50|"{s60} 도시는 평범해보입니다."
str_town_prosperity_60|"{s60} 도시는 번성할 것으로 보입니다."
str_town_prosperity_70|"번영한 도시 {s60}은(는) 활기있게 북적거립니다."
str_town_prosperity_80|"{s60} 도시는 부유하며 잘 관리되는 것으로 보입니다."
str_town_prosperity_90|"{s60} 도시는 호화로우며 부유한 이들로 북적입니다."
str_town_prosperity_100|"빛나는 {s60} 도시는 노골적으로 크나큰 부를 과시합니다."
str_village_prosperity_0|"{s60} 마을의 빈곤은 견딜 수 없을 지경입니다."
str_village_prosperity_10|"{s60} 마을은 지독하게 가난하고 비참해보입니다."
str_village_prosperity_20|"{s60} 마을은 아주 가난하고 황폐해보입니다."
str_village_prosperity_30|"{s60} 마을은 가난하며 방치된 것으로 보입니다."
str_village_prosperity_40|"{s60} 마을은 약간 가난하지만 나아질 조짐을 보입니다."
str_village_prosperity_50|"{s60} 마을은 평범해보입니다."
str_village_prosperity_60|"{s60} 마을은 번성할 것으로 보입니다."
str_village_prosperity_70|"{s60} 마을은 번영할 조짐을 나타냅니다"
str_village_prosperity_80|"{s60} 마을은 부유하며 잘 관리되는 것으로 보입니다."
str_village_prosperity_90|"{s60} 마을은 아주 부유하며 영화로워보입니다."
str_village_prosperity_100|"{s60} 마을은 광대하고 비옥한 땅으로 둘러싸여 있으며 대단히 부유해보입니다."
str_town_alt_prosperity_0|"시장에서 판매되는 약간의 물품들은 주민들이 살 수 없는 가격인 것 같습니다. 사람들은 영양실조에 걸리고 가축들은 아프거나 죽어가고 있고, 그들의 거래수단이 사라진 것 같습니다. 뒷골목에는 버려진 지저분한 개와 파리가 있습니다."
str_town_alt_prosperity_20|"시장에 가끔 모든 물건의 가격과 절반 정도 비어있는 상점에 대한 불평이 들립니다. 사람들과 가축들의 영양실조의 조짐과, 건물과 도구의 수리지연으로 인한 고생이 보입니다. 대부분이 일자리를 찾기위해 다른 곳으로 이동할 준비를 할 지도 모릅니다."
str_town_alt_prosperity_40|"시장에서 가끔 모든 물건의 가격에 대한 불평이 들립니다. 그러나 그것은 판매에 적합한 가격인 것 같습니다. 가끔 비어있는 건물, 가게, 수레가 보이지만, 보통보단 나은 경우입니다."
str_town_alt_prosperity_60|"사람들은 비교적 배불러 보입니다. 장인의 사업이 번창하고, 다른 지역에서 온 이주자들은 그들의 행운을 찾은 것 같습니다."
str_town_alt_prosperity_80|"성벽, 거리 그리고 집들이 잘 가꾸어져 있습니다. 시장에는 유용한 물품과 일거리에 이끌려 온 주변마을의 이주민들이 붐빕니다. 망치질의 리듬과 장인 작업장의 사업에 대한 이야기가 어렴풋이 들립니다."
str_village_alt_prosperity_0|"오직 들판에서 일할 힘이 남은 몇몇 사람만이 많은 잡초가 우거진 들판에서 일합니다. 다른 사람들은 약하고 영양 실조 상태이거나 이미 다른 곳으로 떠나버렸습니다. 짐을 운반하는 가축들은 오랜 기간동안 굶주리거나 먹지 못했고, 여전히 외곽에는 몇몇 시체가 누워 있었으며, 그들의 뼈를 야생 동물들이 갉아먹고 있습니다."
str_village_alt_prosperity_20|"몇몇 농부들과 가축들은 들판에 나가있지만 그들은 소수이며 마을 주민들 일부는 먹을 것을 찾아 이주하고 있습니다. 농장 도구들은 녹슬고 부서진 걸로 보입니다. 그들은 덤불과 잡초로 뒤덮힌 들판의 가장 외곽을 개간하고 있습니다."
str_village_alt_prosperity_40|"들판과 과수원은 제철에 열심히 일하는 마을 주민들로 바쁩니다. 사람들과 가축 모두 비교적 건강하고 배불러보입니다. 그러나 가장 바깥쪽 들판의 약간만 개간한 상태이고, 몇몇 부서진 울타리만 수리되었으며, 여전히 필요한 모든 일을 하기에는 손이 많이 부족합니다."
str_village_alt_prosperity_60|"들판과 과수원은 곡물로 채워진 포대, 마을의 농경지와 목장의 생산성을 증명하는 말린 고기가 쌓여 활기가 넘칩니다."
str_village_alt_prosperity_80|"들판과 과수원은 활기가 넘칩니다. 새로 판 관개수로가 농부들이 충분한 여유시간과 경작지를 확장할 기력이 있음을 사사합니다. 일을 돕기 위해 몰려든 계절 노동자들이 이 전반적인 번영에 합류합니다."
str_oasis_village_alt_prosperity_0|"종려나무 농장은 사실상 버려졌고, 물을 대던 수로는 흙으로 막혀버렸습니다. 눈에 띄는 몇몇 주민들은 영양실조에 지쳐보입니다. 가축들은 굶주린지 오래됐거나 잡아먹혔습니다. 몇몇 가축 시체들은 변두리에 방치되어 있고, 그 뼈는 사나운 사막의 자칼들이 갉아먹은 흔적이 있습니다."
str_oasis_village_alt_prosperity_20|"한 두 명의 마을 주민들이 종려나무 농장으로 향하는 것을 볼 수 있습니다. 사막의 모래가 정원을 덮고 있습니다. 수로는 대부분 막혀버렸고, 우물과 물통들은 모래로 가득 차 있습니다."
str_oasis_village_alt_prosperity_40|"남자와 여자들은 종려나무 농장에서 나무 꼭대기에 올라가 과일을 따느라 분주합니다. 건강한 가축들은 농지에 물을 대는 펌프와 바퀴를 끌고 있습니다. 수로와 물통의 일부는 그러나 사용하기 위해 보수가 필요합니다."
str_oasis_village_alt_prosperity_60|"종려나무 농장과 과수원은 활기로 가득차 있습니다. 농부들은 과일을 따기 위해 나무 꼭대기로 올라 서로를 불러대고 있습니다. 나무 펌프의 삐걱거림, 가축들이 우는 소리, 관개 수로에 힘차게 흐르는 물소리로 마을은 주민들의 관심 속에 점점 번영하고 있습니다."
str_oasis_village_alt_prosperity_80|"종려나무 농장은 풍성한 수확물을 시장에 팔려고 싣는 농부들의 활기로 가득차 있습니다. 남자와 여자들은 새로 만든 땅에 물을 대기 위해 우물과 수로를 파느라 열심입니다."
str_strength|"근력"
str_agility|"민첩"
str_intelligence|"지능"
str_charisma|"매력"
str_acres_grain|"넓은 곡식밭"
str_acres_orchard|"넓은 과수원과 포도원"
str_acres_oasis|"넓은 오아시스 관개지"
str_looms|"직조기"
str_boats|"배"
str_head_cattle|"가축 무리"
str_head_sheep|"양 떼"
str_mills|"제분소"
str_kilns|"가마"
str_pans|"팬"
str_deposits|"예금"
str_hives|"꿀벌통"
str_breweries|"양조장"
str_presses|"압착기"
str_smithies|"대장간"
str_caravans|"육로 대상"
str_traps|"함정"
str_gardens|"작은 정원"
str_tanneries|"무두질 통"
str_master_miller|"제분소 장인"
str_master_brewer|"양조장 장인"
str_master_presser|"압착기 장인"
str_master_smith|"대장간 장인"
str_master_tanner|"무두질 장인"
str_master_weaver|"직조 장인"
str_master_dyer|"염색 장인"
str_war_report_minus_4|"우리는 패전 직전이다."
str_war_report_minus_3|"상황은 어둡다."
str_war_report_minus_2|"상황이 우리에게 유리하게 돌아가지 않는다."
str_war_report_minus_1|"우리가 도전하면 여전히 전쟁에서 승리 할 수 있다."
str_war_report_0|"우리는 적과 대등하다."
str_war_report_plus_1|"우리는 전쟁에서 승리 할 공정한 기회가 있다."
str_war_report_plus_2|"일이 아주 잘 풀리고 있다."
str_war_report_plus_3|"우리가 그들을 격파하는데 어려움이 없을 것이다."
str_war_report_plus_4|"우리는 전쟁에서 이기고 있다."
str_persuasion_summary_very_bad|"당신은 {s50}을(를) 설득하기 위해 최선을 다했지만, 당신의 주장 중 아무 것도 제대로 나오지 않는 것 같습니다. 당신이 항상 느끼는 것은, 당신이 완전히 잘못된 말을 하고 있는 것 같다는 것입니다. 설득이 끝날 때까지 당신은 호의적으로 받아들여질 하나의 일관된 지점을 만들지 못했고, 당신이 한 모든 말이 당신의 목구멍을 막는 것 같습니다. 당연히, {s50}은(는) 어떤 감동도 받지 않은 것 같습니다."
str_persuasion_summary_bad|"당신은 {s50}을(를) 설득하려 하지만, {reg51?그녀:그}는 처음부터 당신을 무시합니다. 당신의 최고의 주장에도 불구하고 자신의 귀를 기울이지 않습니다. {s50}역시, 당신이 한 말에 대해 높은 평가를 내리지 않습니다."
str_persuasion_summary_average|"{s50}은(는) 예리한 마음을 지닌 숙련된 연설자로 밝혀졌고, {reg51?그녀:그}를 합리적으로 논박할 수 있는 어떤 방법도 없어 보입니다. 결국, 이 토론에서 어느 누구도 어떠한 이점을 얻을 수 없었습니다."
str_persuasion_summary_good|"신속한 사고와 부드러운 논리를 통해 , 당신은 {s50}에게 몇 번의 깊은 인상을 주었습니다. 그러나, {reg51?그녀:그}는 여전히 당신의 요청에 의구심을 나타내고 있습니다."
str_persuasion_summary_very_good|"당신은 시와 같이 듣는 모든 이들의 귀를 통해 울려퍼지는 열정적인 연설을 했습니다. 세상조차 당신의 말을 더 잘 듣기 위해 조용해진 것 같습니다. 영감을 주는 단어들에 {s50}는(은) 깊은 감동을 느꼈으며, 그리고 {reg51?그녀:그}는 당신을 돕는 방향으로 일을 처리하기로 했습니다."
str_secret_sign_1|"장식장은 자정에 춤을 추지요..."
str_secret_sign_2|"저는 괜찮은 드라하라 색실 직물화를 판매하고 있습니다. 좀 사시겠습니까?"
str_secret_sign_3|"친구의 친구가 나를 보냈습니다..."
str_secret_sign_4|"동쪽에서 강한 바람이 불면 강은 붉게 물들지요..."
str_countersign_1|"그가 찬장이나 촛대이기만 하면 좋아하는 게 아닙니까?"
str_countersign_2|"그렇습니다, 파란색 계통은 없습니까?"
str_countersign_3|"그래도 친구여, 친구의 친구 중에도 나같은 친구는 없을 겁니다."
str_countersign_4|"당신 어디 안좋습니까?"
str_name_1|"알버드"
str_name_2|"유수카르"
str_name_3|"시그마"
str_name_4|"탈리스크"
str_name_5|"리트만드"
str_name_6|"엘스"
str_name_7|"라우르크"
str_name_8|"브라가무스"
str_name_9|"탈"
str_name_10|"라민"
str_name_11|"솔크"
str_name_12|"푸타르"
str_name_13|"타무스"
str_name_14|"리차드"
str_name_15|"웰시아"
str_name_16|"를크"
str_name_17|"말운드"
str_name_18|"아우구른"
str_name_19|"데이나드"
str_name_20|"조아하"
str_name_21|"라마"
str_name_22|"칼다란"
str_name_23|"브라바스"
str_name_24|"쿤드린"
str_name_25|"피찬크"
str_name_26|"요하네"
str_surname_1|"뒷골목의 {s50}"
str_surname_2|"허풍선이 {s50}"
str_surname_3|"막무가내 {s50}"
str_surname_4|"폭력적인 {s50}"
str_surname_5|"악독한 {s50}"
str_surname_6|"배신자 {s50}"
str_surname_7|"가혹한 {s50}"
str_surname_8|"서방의 {s50}"
str_surname_9|"동방의 {s50}"
str_surname_10|"남부 출신 {s50}"
str_surname_11|"북부 출신 {s50}"
str_surname_12|"방앗간의 {s50}"
str_surname_13|"입이 거친 {s50}"
str_surname_14|"빼빼마른 {s50}"
str_surname_15|"돌주먹 {s50}"
str_surname_16|"뒤를 치는자 {s50}"
str_surname_17|"발빠른 {s50}"
str_surname_18|"사슴뿔 {s50}"
str_surname_19|"뿔나팔의 {s50}"
str_surname_20|"녹슨 칼날 {s50}"
str_surname_21|"철저한 {s50}"
str_surname_22|"수척한 {s50}"
str_surname_23|"멋진 수염의 {s50}"
str_surname_24|"참새 {s50}"
str_surname_25|"거지 {s50}"
str_surname_26|"상처입은 {s50}"
str_surname_27|"공정한 {s50}"
str_surname_28|"완강한 {s50}"
str_surname_29|"붉은 {s50}"
str_surname_30|"검은 {s50}"
str_surname_31|"키가 큰 {s50}"
str_surname_32|"별의 눈 {s50}"
str_surname_33|"겂없는 {s50}"
str_surname_34|"씩씩한 {s50}"
str_surname_35|"교활한 {s50}"
str_surname_36|"겁쟁이 {s50}"
str_surname_37|"똑똑한 {s50}"
str_surname_38|"재빠른 {s50}"
str_surname_39|"민스트렐 {s50}"
str_surname_40|"용감한 {s50}"
str_surname_41|"불같은 {s50}"
str_surname_42|"긴 수염 {s50}"
str_surnames_end|"surnames end"
str_number_of_troops_killed_reg1|"사망한 군사의 수: {reg1}"
str_number_of_troops_wounded_reg1|"부상을 입은 군사의 수: {reg1}"
str_number_of_own_troops_killed_reg1|"사망한 우호적인 군사의 수: {reg1}"
str_number_of_own_troops_wounded_reg1|"부상을 입은 우호적인 군사의 수: {reg1}"
str_retreat|"후퇴!"
str_siege_continues|"전투 속행..."
str_casualty_display|"당신의 사상자: {s10}^적의 사상자: {s11}{s12}"
str_casualty_display_hp|"^당신은 {reg1}피해를 입어 부상당했습니다."
str_quest_log_updated|"임무 기록이 갱신되었습니다..."
str_banner_selection_text|"당신은 깃발을 소유할 수 있게 되었습니다. 당신의 깃발은 당신의 지위를 나타내고 당신에게 명예를 가져다줄 것입니다. 어떤 깃발이 마음에 드시나요?"
str_retirement_text_1|"당신의 돈이 오래가지 못한다는 것을 깨닫는데 너무 오래 걸렸다. 아끼려 노력했음에도 오래가지 못했다. 그리고 모험을 다시 시작하기 위한 몇번의 무모한 시도에도 불구하고 가난한 생활을 계속하였다. 당신은 {s9}에서 완전히 거지가 되었고, 교회의 구호품과 기부금으로 살아간다."
str_retirement_text_2|"당신의 돈이 오래가지 못한다는 것을 깨닫는데 너무 오래 걸렸다. 아끼려 노력했음에도 오래가지 못했다. 당신 손에서 데나르가 사라질 때마다, {s9}의 뒷골목에서 범죄자의 길을 걸을 수 밖에 없었으며, 당신의 기술을 이용해 여자들과 가난한 마을사람들로부터 동전들을 훔쳐 살아간다."
str_retirement_text_3|"당신의 돈이 오래가지 못한다는 것을 깨닫는데 너무 오래 걸렸다. 아끼려 노력했음에도 오래가지 못했다. 그리고 당신은 빈털터리 방랑자가 되었으며, 선술집들을 오가며 더 이상 믿는 사람도 없는 없는 전쟁이야기로 순진한 손님들을 꾀어 술이나 얻어 마시며 살아간다."
str_retirement_text_4|"당신이 모아놓은 돈은 오래가지 못했지만, {s7}마을 근처 약간의 땅을 살 돈은 되었다. 그곳에서 농부가 되었고, {reg59?남편들:아내들}을 만나게 되었다. 마을 사람들은 당신을 그 지역의 영웅으로 받들게 되고 축제때마다 존경을 받게 되고 당신의 업적은 선술집들에서 계속 이야기 되어 아이들은 영원히 당신의 이야기를 기억할 것이다."
str_retirement_text_5|"당신이 모아놓은 돈은 오래가지 못했지만, {s9}에 있는 작은 선술집을 사기에는 충분했다. 처음에 마을 사람들은 당신을 경계했지만 곧 당신을 받아들이게 된다.당신의 선술집은 연회장과 회담장으로 유명해지게 된다. 당신의 모험에 대한 서사시가 유명해짐에 따라 사람들은 멀리서도 식사와 잠자리를 위해 찾아오게 된다."
str_retirement_text_6|"당신은 모험하는 동안 현명하게 절약하였고, 당신의 돈과 지혜를 통해 미래를 탄탄하게 할 훌륭한 투자를 하게된다. {s9}에서 몇개의 상점과 창고들을 사들인 뒤에, 당신의 통찰력은 마을에서 가장 뛰어난 상인으로 만들어 주게 되고, 곧 전투에서의 업적 만큼이나 무역 제국을 이끄는 부유한 {남자/여자}로 이름을 날리게 된다."
str_retirement_text_7|"비록 작지만 땅을 가지고 있는 귀족으로 당신의 미래는 탄탄했다. {s7}에 정착하여, 마을과 땅들을 관리하고, 지역 재판에서 판결을 내리고 당신 군주에 대한 의무를 다하게 된다. 종종 당신의 군주는 당신을 소집하여 작전에 참가할 것을 명령했지만, 그것은 잠깐 이었고, 당신의 젊은날과 같이 완전히 모험의 세계로 돌아가지는 않았다. 당신은 이미 운명을 결정지었다. 당신의 집과 땅들로 개인적인 부와 만족스럽진 못하지만 당신의 땅에서의 수입등 원하는 몇가지를 가질 수 있었다."
str_retirement_text_8|"당신 자신이 훌륭한 일을 해냈다는것에 의심할 여지가 없었다. 당신의 값비싼 영토들과 여행에서 쌓은 부는 당신의 여생을 편히 살수 있게 해주었다. {s8}에서 귀족의 자리에서 은퇴한뒤, 정치계에 입문했고, 당신 군주의 왕국에서 적지않은 힘을 가진 사람이 되었다. 당신 소유의 숲에서 사냥을 하고, 연회를 개최하여 수많은 전쟁이야기 들을 하며 바쁜 나날을 보냈고, 이후 몇년간 당신은 세상의 관심사였다."
